
Number of samples:   198
Sample interval:     0.001 seconds
Total sampling time: 0.198 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=1945647 "fn-sprof" RUNNING {120F240203}> (456/1048576 bytes, 3 hash buckets)
   #<THREAD tid=1945652 "fn owner client" RUNNING {120F80D163}> (54536/1048576 bytes, 180 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     21  10.6     42  21.2     21  10.6        -  FN-RECORD-STRING-OCTETS-AUX
   4     10   5.1     11   5.6     31  15.7        -  FN-RECORD-STRING-OCTETS
   6     10   5.1     10   5.1     41  20.7        -  FN-SHA256-W32
   8      9   4.5      9   4.5     50  25.3        -  foreign function __write
  10      7   3.5     27  13.6     57  28.8        -  FN-SHA256-ROUNDS
  12      7   3.5      7   3.5     64  32.3        -  SB-IMPL::LIST-REVERSE
  14      7   3.5      7   3.5     71  35.9        -  ASH
  16      6   3.0      6   3.0     77  38.9        -  FN-CBOR-OCTETP
  18      6   3.0      6   3.0     83  41.9        -  foreign function __open64
  20      5   2.5     14   7.1     88  44.4        -  FN-SHA256-ROTR32
  22      5   2.5     10   5.1     93  47.0        -  FN-SHA256-FIRSTN
  24      5   2.5      9   4.5     98  49.5        -  FN-CBOR-OCTET-LISTP
  26      5   2.5      5   2.5    103  52.0        -  FN-SHA256-NTHX
  28      4   2.0      4   2.0    107  54.0        -  GENERIC--
  30      4   2.0      4   2.0    111  56.1        -  foreign function rename
  32      3   1.5      9   4.5    114  57.6        -  FN-INDEX-BUILD
  34      3   1.5      3   1.5    117  59.1        -  foreign function unlink
  36      2   1.0      7   3.5    119  60.1        -  FN-SHA256-WORDS16
  38      2   1.0      6   3.0    121  61.1        -  FN-RECORD-PAYLOADP
  40      2   1.0      5   2.5    123  62.1        -  FN-SHA256-MAJ
  42      2   1.0      2   1.0    125  63.1        -  foreign function fsync
  44      2   1.0      2   1.0    127  64.1        -  SB-KERNEL:TWO-ARG-XOR
  46      2   1.0      2   1.0    129  65.2        -  FN-SHA256-SHR32
  48      2   1.0      2   1.0    131  66.2        -  APPEND
  50      2   1.0      2   1.0    133  67.2        -  FN-AG-CDR
  52      2   1.0      2   1.0    135  68.2        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;DLISP3.LISP")
  54      2   1.0      2   1.0    137  69.2        -  FN-SHA256-CH
  56      1   0.5     24  12.1    138  69.7        -  FN-SHA256-SCHEDULE-AUX
  58      1   0.5     14   7.1    139  70.2        -  FN-SCAR-FEED-COUNTED
  60      1   0.5      8   4.0    140  70.7        -  FN-OWN-REFRESH
  62      1   0.5      7   3.5    141  71.2        -  FN-SHA256-SSIG0
  64      1   0.5      7   3.5    142  71.7        -  FN-SHA256-SSIG1
  66      1   0.5      7   3.5    143  72.2        -  FN-SHA256-BSIG1
  68      1   0.5      4   2.0    144  72.7        -  FN-SHA256-BSIG0
  70      1   0.5      3   1.5    145  73.2        -  FN-WIRE-FEED-BYTE
  72      1   0.5      2   1.0    146  73.7        -  ACL2_*1*_ACL2::FN-FRAME-TRAILER
  74      1   0.5      2   1.0    147  74.2        -  FN-INDEX-ARTICLE-ENTRIES
  76      1   0.5      2   1.0    148  74.7        -  REPLACE
  78      1   0.5      2   1.0    149  75.3        -  FN-NNTP-UPCASE-KEYWORD
  80      1   0.5      2   1.0    150  75.8        -  FN-SHA256-WORDS-OCTETS
------------------------------------------------------------------------
          0   0.0                                     elsewhere
