
Number of samples:   223
Sample interval:     0.001 seconds
Total sampling time: 0.223 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=1946492 "fn-sprof" RUNNING {120F238783}> (248/1048576 bytes, 2 hash buckets)
   #<THREAD tid=1946495 "fn owner client" RUNNING {120F805163}> (53160/1048576 bytes, 185 hash buckets)
   #<THREAD tid=1946493 "fn outbound feed" RUNNING {120F69B303}> (176/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     27  12.1     54  24.2     27  12.1        -  FN-RECORD-STRING-OCTETS-AUX
   4     16   7.2     16   7.2     43  19.3        -  FN-RECORD-STRING-OCTETS
   6     13   5.8     13   5.8     56  25.1        -  foreign function __open64
   8     12   5.4     12   5.4     68  30.5        -  foreign function fsync
  10     10   4.5     10   4.5     78  35.0        -  FN-SHA256-W32
  12      9   4.0      9   4.0     87  39.0        -  foreign function __write
  14      7   3.1      7   3.1     94  42.2        -  ASH
  16      7   3.1      7   3.1    101  45.3        -  FN-SHA256-NTHX
  18      6   2.7      6   2.7    107  48.0        -  FN-AG-CAR
  20      5   2.2     12   5.4    112  50.2        -  FN-SHA256-ROTR32
  22      5   2.2      5   2.2    117  52.5        -  foreign function rename
  24      4   1.8      4   1.8    121  54.3        -  SB-IMPL::LIST-REVERSE
  26      4   1.8      4   1.8    125  56.1        -  foreign function link
  28      3   1.3     26  11.7    128  57.4        -  FN-SHA256-ROUNDS
  30      3   1.3      8   3.6    131  58.7        -  FN-FIND-ARTICLE
  32      3   1.3      5   2.2    134  60.1        -  FN-CBOR-OCTET-LISTP
  34      3   1.3      3   1.3    137  61.4        -  SB-IMPL::APPEND2
  36      3   1.3      3   1.3    140  62.8        -  FN-CBOR-OCTETP
  38      3   1.3      3   1.3    143  64.1        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
  40      3   1.3      3   1.3    146  65.5        -  SB-IMPL::%LOOKUP-SYMBOL
  42      3   1.3      3   1.3    149  66.8        -  foreign function syscall
  44      2   0.9      6   2.7    151  67.7        -  FN-SHA256-BSIG1
  46      2   0.9      4   1.8    153  68.6        -  FN-SHA256-FIRSTN
  48      2   0.9      4   1.8    155  69.5        -  FN-GIDX-BUILD-ENTRIES
  50      2   0.9      2   0.9    157  70.4        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  52      2   0.9      2   0.9    159  71.3        -  GENERIC--
  54      2   0.9      2   0.9    161  72.2        -  %DATA-VECTOR-AND-INDEX
  56      2   0.9      2   0.9    163  73.1        -  SB-KERNEL:TWO-ARG-IOR
  58      2   0.9      2   0.9    165  74.0        -  SB-KERNEL:TWO-ARG-XOR
  60      2   0.9      2   0.9    167  74.9        -  foreign function unlink
  62      1   0.4    158  70.9    168  75.3        -  FNN-CALL
  64      1   0.4     54  24.2    169  75.8        -  FN-FRAME-DIGEST
  66      1   0.4     52  23.3    170  76.2        -  FN-SHA256-OF-OCTETS
  68      1   0.4     47  21.1    171  76.7        -  FN-RECORD-P
  70      1   0.4     21   9.4    172  77.1        -  FN-SHA256-SCHEDULE-AUX
  72      1   0.4      9   4.0    173  77.6        -  FN-SHA256-BSIG0
  74      1   0.4      5   2.2    174  78.0        -  FN-SHA256-SSIG1
  76      1   0.4      4   1.8    175  78.5        -  FN-SHA256-MAJ
  78      1   0.4      2   0.9    176  78.9        -  FN-SHA256-CH
  80      1   0.4      2   0.9    177  79.4        -  FN-SHA256-WORDS16
------------------------------------------------------------------------
          3   1.3                                     elsewhere
