
Number of samples:   241
Sample interval:     0.001 seconds
Total sampling time: 0.241 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=1945814 "fn-sprof" RUNNING {120F228773}> (800/1048576 bytes, 6 hash buckets)
   #<THREAD tid=1945819 "fn owner client" RUNNING {120F7F0663}> (58512/1048576 bytes, 200 hash buckets)
   #<THREAD tid=1945817 "fn outbound feed" RUNNING {120F686B13}> (248/1048576 bytes, 2 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     18   7.5     36  14.9     18   7.5        -  FN-RECORD-STRING-OCTETS-AUX
   4     18   7.5     18   7.5     36  14.9        -  foreign function fsync
   6     16   6.6     16   6.6     52  21.6        -  FN-RECORD-STRING-OCTETS
   8     12   5.0     22   9.1     64  26.6        -  FN-SHA256-ROTR32
  10     11   4.6     11   4.6     75  31.1        -  FN-SHA256-W32
  12      8   3.3      8   3.3     83  34.4        -  FN-SHA256-NTHX
  14      8   3.3      8   3.3     91  37.8        -  foreign function __open64
  16      7   2.9      7   2.9     98  40.7        -  ASH
  18      7   2.9      7   2.9    105  43.6        -  foreign function rename
  20      6   2.5     31  12.9    111  46.1        -  FN-SHA256-ROUNDS
  22      6   2.5      7   2.9    117  48.5        -  FN-AG-APPEND
  24      5   2.1      5   2.1    122  50.6        -  foreign function unlink
  26      4   1.7      5   2.1    126  52.3        -  SB-IMPL::LIST-REVERSE
  28      4   1.7      5   2.1    130  53.9        -  SB-KERNEL:VECTOR-TO-LIST
  30      4   1.7      4   1.7    134  55.6        -  %DATA-VECTOR-AND-INDEX
  32      4   1.7      4   1.7    138  57.3        -  FN-AG-CAR
  34      4   1.7      4   1.7    142  58.9        -  SB-KERNEL:STRING=*
  36      4   1.7      4   1.7    146  60.6        -  foreign function __write
  38      3   1.2      6   2.5    149  61.8        -  FN-SHA256-FIX-OCTETS
  40      3   1.2      6   2.5    152  63.1        -  FN-SHA256-APPX
  42      3   1.2      5   2.1    155  64.3        -  FN-OCTET-LISTP
  44      3   1.2      5   2.1    158  65.6        -  FN-SHA256-CH
  46      3   1.2      3   1.2    161  66.8        -  FN-AG-CDR
  48      3   1.2      3   1.2    164  68.0        -  APPEND
  50      2   0.8     12   5.0    166  68.9        -  FN-SHA256-BSIG0
  52      2   0.8      6   2.5    168  69.7        -  FN-SHA256-WORDS16
  54      2   0.8      4   1.7    170  70.5        -  FN-SHA256-SHR32
  56      2   0.8      3   1.2    172  71.4        -  FN-ARTICLE-MEMBERSHIPS
  58      2   0.8      3   1.2    174  72.2        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
  60      2   0.8      2   0.8    176  73.0        -  foreign function fstatat
  62      2   0.8      2   0.8    178  73.9        -  GENERIC--
  64      2   0.8      2   0.8    180  74.7        -  FN-OCTETP
  66      2   0.8      2   0.8    182  75.5        -  GENERIC-+
  68      2   0.8      2   0.8    184  76.3        -  SB-IMPL::GET3
  70      1   0.4    216  89.6    185  76.8        -  FNN-OWNER-DRAIN-ONE
  72      1   0.4    173  71.8    186  77.2        -  FNN-CALL
  74      1   0.4    125  51.9    187  77.6        -  FNN-OWNER-ATTEMPT
  76      1   0.4     12   5.0    188  78.0        -  FN-ALL-ARTICLE-MEMBERSHIPS
  78      1   0.4     11   4.6    189  78.4        -  FN-OWNER-SUBMISSION-RESOLUTION
  80      1   0.4      9   3.7    190  78.8        -  FN-ARTICLE-PARSE-LINES
------------------------------------------------------------------------
          1   0.4                                     elsewhere
