
Number of samples:   257
Sample interval:     0.001 seconds
Total sampling time: 0.257 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=1946369 "fn-sprof" RUNNING {120F230333}> (512/1048576 bytes, 4 hash buckets)
   #<THREAD tid=1946372 "fn owner client" RUNNING {120F7F8663}> (70424/1048576 bytes, 232 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     23   8.9     46  17.9     23   8.9        -  FN-RECORD-STRING-OCTETS-AUX
   4     16   6.2     16   6.2     39  15.2        -  FN-SHA256-W32
   6     11   4.3     11   4.3     50  19.5        -  FN-RECORD-STRING-OCTETS
   8      9   3.5     22   8.6     59  23.0        -  FN-SHA256-ROTR32
  10      8   3.1      8   3.1     67  26.1        -  foreign function __open64
  12      7   2.7      7   2.7     74  28.8        -  foreign function rename
  14      6   2.3     34  13.2     80  31.1        -  FN-SHA256-SCHEDULE-AUX
  16      6   2.3      6   2.3     86  33.5        -  FN-SHA256-NTHX
  18      6   2.3      6   2.3     92  35.8        -  foreign function fsync
  20      5   1.9      5   1.9     97  37.7        -  ASH
  22      5   1.9      5   1.9    102  39.7        -  FN-AG-APPEND
  24      5   1.9      5   1.9    107  41.6        -  SB-IMPL::LIST-REVERSE
  26      5   1.9      5   1.9    112  43.6        -  FN-AG-CAR
  28      5   1.9      5   1.9    117  45.5        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  30      4   1.6     32  12.5    121  47.1        -  FN-SHA256-ROUNDS
  32      4   1.6     10   3.9    125  48.6        -  FN-ARTICLE-MSGIDS
  34      4   1.6      8   3.1    129  50.2        -  FN-SHA256-FIX-OCTETS
  36      4   1.6      5   1.9    133  51.8        -  FN-CBOR-OCTET-LISTP
  38      4   1.6      4   1.6    137  53.3        -  FN-SHA256-SHR32
  40      4   1.6      4   1.6    141  54.9        -  foreign function __write
  42      3   1.2      7   2.7    144  56.0        -  FN-SHA256-MAJ
  44      3   1.2      6   2.3    147  57.2        -  FN-SHA256-FIRSTN
  46      3   1.2      6   2.3    150  58.4        -  FN-SHA256-APPX
  48      3   1.2      3   1.2    153  59.5        -  FN-AG-CDR
  50      3   1.2      3   1.2    156  60.7        -  SB-KERNEL:TWO-ARG-IOR
  52      3   1.2      3   1.2    159  61.9        -  FN-CBOR-OCTETP
  54      3   1.2      3   1.2    162  63.0        -  SB-IMPL::%LOOKUP-SYMBOL
  56      3   1.2      3   1.2    165  64.2        -  GENERIC--
  58      3   1.2      3   1.2    168  65.4        -  foreign function link
  60      3   1.2      3   1.2    171  66.5        -  FN-WIRE-MAKE-RESULT
  62      2   0.8      9   3.5    173  67.3        -  FN-INDEX-BUILD
  64      2   0.8      9   3.5    175  68.1        -  FN-SHA256-SSIG1
  66      2   0.8      4   1.6    177  68.9        -  SB-KERNEL:VECTOR-TO-LIST
  68      2   0.8      4   1.6    179  69.6        -  FN-RECORD-PAYLOADP
  70      2   0.8      3   1.2    181  70.4        -  FN-INJ-APPEND
  72      2   0.8      3   1.2    183  71.2        -  FN-OCTET-LISTP
  74      2   0.8      2   0.8    185  72.0        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  76      2   0.8      2   0.8    187  72.8        -  foreign function unlink
  78      2   0.8      2   0.8    189  73.5        -  FN-PAIR-MEMBERP
  80      2   0.8      2   0.8    191  74.3        -  foreign function __close
------------------------------------------------------------------------
          2   0.8                                     elsewhere
