
Number of samples:   268
Sample interval:     0.001 seconds
Total sampling time: 0.268 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=1798465 "fn-sprof" RUNNING {120F1E8093}> (152/1048576 bytes, 1 hash buckets)
   #<THREAD tid=1798468 "fn owner client" RUNNING {120F7B0663}> (73160/1048576 bytes, 242 hash buckets)
   #<THREAD tid=1798466 "fn outbound feed" RUNNING {120F646B13}> (512/1048576 bytes, 3 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     39  14.6     78  29.1     39  14.6        -  FN-RECORD-STRING-OCTETS-AUX
   4     25   9.3     26   9.7     64  23.9        -  FN-RECORD-STRING-OCTETS
   6     12   4.5     15   5.6     76  28.4        -  FN-CBOR-OCTET-LISTP
   8      9   3.4      9   3.4     85  31.7        -  FN-SHA256-W32
  10      8   3.0      8   3.0     93  34.7        -  foreign function fsync
  12      8   3.0      8   3.0    101  37.7        -  ASH
  14      7   2.6      7   2.6    108  40.3        -  foreign function __write
  16      6   2.2      7   2.6    114  42.5        -  FN-OCTET-LISTP
  18      6   2.2      6   2.2    120  44.8        -  SB-KERNEL:STRING=*
  20      6   2.2      6   2.2    126  47.0        -  FN-AG-CDR
  22      5   1.9     28  10.4    131  48.9        -  FN-SHA256-ROUNDS
  24      5   1.9     13   4.9    136  50.7        -  FN-SHA256-ROTR32
  26      5   1.9     12   4.5    141  52.6        -  FN-NODE-BINDING-IDS
  28      5   1.9      6   2.2    146  54.5        -  FN-AG-APPEND
  30      5   1.9      5   1.9    151  56.3        -  FN-SHA256-NTHX
  32      4   1.5      4   1.5    155  57.8        -  FN-PAIR-EQUALP
  34      4   1.5      4   1.5    159  59.3        -  TRUE-LISTP
  36      3   1.1     14   5.2    162  60.4        -  FN-SHA256-SCHEDULE-AUX
  38      3   1.1      9   3.4    165  61.6        -  FN-PAIR-MEMBERP
  40      3   1.1      7   2.6    168  62.7        -  FN-ARTICLE-MEMBERSHIPS
  42      3   1.1      3   1.1    171  63.8        -  FN-RECORD-NONEMPTY-AT-MOSTP
  44      3   1.1      3   1.1    174  64.9        -  FN-CBOR-OCTETP
  46      2   0.7     67  25.0    176  65.7        -  FN-RECORD-METADATA-BYTES-P
  48      2   0.7     16   6.0    178  66.4        -  FN-ALL-ARTICLE-MEMBERSHIPS
  50      2   0.7     10   3.7    180  67.2        -  SB-KERNEL:%MEMBER-TEST
  52      2   0.7      7   2.6    182  67.9        -  FN-RECORD-PAYLOADP
  54      2   0.7      4   1.5    184  68.7        -  FN-ARTICLE-MSGIDS
  56      2   0.7      4   1.5    186  69.4        -  FN-NODE-BINDING-MSGIDS
  58      2   0.7      3   1.1    188  70.1        -  FN-SHA256-CH
  60      2   0.7      2   0.7    190  70.9        -  FN-SHA256-REVX
  62      2   0.7      2   0.7    192  71.6        -  EQUAL
  64      2   0.7      2   0.7    194  72.4        -  SB-IMPL::OUTPUT-TO-C-STRING/LATIN-1/LF
  66      2   0.7      2   0.7    196  73.1        -  FN-ARTICLE-HEADER-BYTEP
  68      2   0.7      2   0.7    198  73.9        -  FN-AG-CAR
  70      2   0.7      2   0.7    200  74.6        -  foreign function __close
  72      2   0.7      2   0.7    202  75.4        -  %DATA-VECTOR-AND-INDEX
  74      2   0.7      2   0.7    204  76.1        -  GENERIC-+
  76      2   0.7      2   0.7    206  76.9        -  SB-KERNEL:TWO-ARG-IOR
  78      2   0.7      2   0.7    208  77.6        -  FN-RECORD-ASCII-OCTETP
  80      2   0.7      2   0.7    210  78.4        -  foreign function __open64
------------------------------------------------------------------------
          9   3.4                                     elsewhere
