
Number of samples:   2708
Sample interval:     0.001 seconds
Total sampling time: 2.708 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2038301 "fn-sprof" RUNNING {120F230623}> (384/1048576 bytes, 3 hash buckets)
   #<THREAD tid=2038303 "fn local control accept" RUNNING {120F76B3D3}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2038398 "fn owner client" RUNNING {120F815183}> (618176/1048576 bytes, 1228 hash buckets)
   #<THREAD tid=2038302 "fn outbound feed" RUNNING {120F6A3303}> (1424/1048576 bytes, 9 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    564  20.8    564  20.8    564  20.8        -  SB-KERNEL:STRING=*
   4    160   5.9    160   5.9    724  26.7        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
   6    135   5.0    321  11.9    859  31.7        -  FN-NODE-BINDING-IDS
   8    135   5.0    282  10.4    994  36.7        -  FN-NODE-BINDING-MSGIDS
  10    132   4.9    277  10.2   1126  41.6        -  FN-ARTICLE-MSGIDS
  12    120   4.4    424  15.7   1246  46.0        -  FN-ALL-ARTICLE-MEMBERSHIPS
  14     98   3.6     98   3.6   1344  49.6        -  FN-AG-CAR
  16     96   3.5     96   3.5   1440  53.2        -  FN-AG-CDR
  18     85   3.1     91   3.4   1525  56.3        -  FN-AG-APPEND
  20     66   2.4    116   4.3   1591  58.8        -  FN-OCTET-LISTP
  22     55   2.0     55   2.0   1646  60.8        -  FN-OCTETP
  24     43   1.6     49   1.8   1689  62.4        -  FN-PAIR-EQUALP
  26     42   1.6     42   1.6   1731  63.9        -  EQUAL
  28     37   1.4    580  21.4   1768  65.3        -  SB-KERNEL:%MEMBER-TEST
  30     34   1.3    371  13.7   1802  66.5        -  FN-RETAIN-FIND-ID
  32     30   1.1     61   2.3   1832  67.7        -  FN-ARTICLE-MEMBERSHIPS
  34     26   1.0     89   3.3   1858  68.6        -  FN-PAIR-MEMBERP
  36     26   1.0     26   1.0   1884  69.6        -  foreign function memcmp
  38     25   0.9     42   1.6   1909  70.5        -  FN-NODE-BINDING-ID
  40     23   0.8    298  11.0   1932  71.3        -  FN-AG-MEMBER
  42     15   0.6    175   6.5   1947  71.9        -  FN-NODE-FIND-BINDING
  44     15   0.6     26   1.0   1962  72.5        -  FN-RECORD-STRING-OCTETS-AUX
  46     12   0.4     24   0.9   1974  72.9        -  FN-RECORD-ASCII-OCTET-LISTP
  48     12   0.4     12   0.4   1986  73.3        -  FN-RECORD-STRING-OCTETS
  50     11   0.4     11   0.4   1997  73.7        -  FN-NODE-BINDING-MSGID
  52     10   0.4     10   0.4   2007  74.1        -  FN-ARTICLE-MSGID
  54     10   0.4     10   0.4   2017  74.5        -  FN-RETAIN-OBLIGATION-ID
  56      9   0.3      9   0.3   2026  74.8        -  TRUE-LISTP
  58      8   0.3      8   0.3   2034  75.1        -  SB-KERNEL:TWO-ARG-<=
  60      8   0.3      8   0.3   2042  75.4        -  foreign function __write
  62      7   0.3     58   2.1   2049  75.7        -  FN-CFG-LABELP
  64      6   0.2     13   0.5   2055  75.9        -  FN-RECORD-ASCII-OCTETP
  66      6   0.2     13   0.5   2061  76.1        -  FN-RETAIN-OBLIGATION-IDS
  68      5   0.2    454  16.8   2066  76.3        -  FN-NODE-BINDING-LISTP
  70      5   0.2      5   0.2   2071  76.5        -  foreign function syscall
  72      4   0.1      7   0.3   2075  76.6        -  FN-ARTICLE-SHAPEP
  74      4   0.1      4   0.1   2079  76.8        -  foreign function poll
  76      3   0.1    565  20.9   2082  76.9        -  FN-NODE-ARTICLES-HAVE-ARCHIVE-BINDINGSP
  78      3   0.1    374  13.8   2085  77.0        -  FN-ARTICLE-LISTP
  80      3   0.1    241   8.9   2088  77.1        -  FN-ARTICLES-FRESHP
  82      3   0.1    153   5.6   2091  77.2        -  FN-ARTICLEP
  84      3   0.1     14   0.5   2094  77.3        -  FN-RETAIN-OBLIGATION-LISTP
  86      3   0.1      6   0.2   2097  77.4        -  FN-RETAIN-MATCHING-RELEASEP
  88      3   0.1      5   0.2   2100  77.5        -  FN-NNTP-STRING-OCTETS-AUX
  90      3   0.1      4   0.1   2103  77.7        -  FN-ARTICLE-GROUPS
  92      3   0.1      3   0.1   2106  77.8        -  FN-PROVP
  94      3   0.1      3   0.1   2109  77.9        -  foreign function clock_nanosleep
  96      2   0.1    300  11.1   2111  78.0        -  FN-SUBSETP
  98      2   0.1     15   0.6   2113  78.0        -  FN-SCAR-FEED-BYTE
 100      2   0.1     11   0.4   2115  78.1        -  FN-RETAIN-OBLIGATIONP
 102      2   0.1      8   0.3   2117  78.2        -  FN-WIRE-FEED-BYTE
 104      2   0.1      7   0.3   2119  78.2        -  FN-RETAIN-SUM
 106      2   0.1      5   0.2   2121  78.3        -  FN-SELECTION-VALIDP
 108      2   0.1      3   0.1   2123  78.4        -  FN-MIDX-BRANCH-GET
 110      2   0.1      3   0.1   2125  78.5        -  FN-NO-DUPLICATESP
 112      2   0.1      2   0.1   2127  78.5        -  %DATA-VECTOR-AND-INDEX
 114      2   0.1      2   0.1   2129  78.6        -  FN-MIDX-KEY-CHARS
 116      2   0.1      2   0.1   2131  78.7        -  FN-NNTP-COMMAND-LINEP
 118      2   0.1      2   0.1   2133  78.8        -  FN-WIRE-AG-CAR
 120      2   0.1      2   0.1   2135  78.8        -  FN-NNTP-TOKENIZE-AUX
------------------------------------------------------------------------
        512  18.9                                     elsewhere
