
Number of samples:   1047
Sample interval:     0.001 seconds
Total sampling time: 1.047 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2215709 "main thread" RUNNING {1200068003}> (264/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2215723 "fn-heap" RUNNING {1211A77663}> (3904/1048576 bytes, 29 hash buckets)
   #<THREAD tid=2215727 "fn outbound feed" RUNNING {1211EE3303}> (1112/1048576 bytes, 8 hash buckets)
   #<THREAD tid=2215730 "fn owner client" RUNNING {1212065173}> (91768/1048576 bytes, 267 hash buckets)
   #<THREAD tid=2215729 "fn local control accept" RUNNING {1211FC3523}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2215728 "fn pull feed" RUNNING {1211EE3553}> (272/1048576 bytes, 2 hash buckets)
   #<THREAD tid=2215724 "fn-prof" RUNNING {1211AAC8C3}> (1880/1048576 bytes, 14 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    203  19.4    203  19.4    203  19.4        -  FN-AG-REV-ONTO
   4    133  12.7    133  12.7    336  32.1        -  FN-AG-CAR
   6    120  11.5    122  11.7    456  43.6        -  REVAPPEND
   8     99   9.5    330  31.5    555  53.0        -  FN-NNTP-CRLF-LINES-AUX
  10     70   6.7    112  10.7    625  59.7        -  FN-NG-REVAPPEND
  12     63   6.0     88   8.4    688  65.7        -  FN-OCTET-LISTP
  14     48   4.6     48   4.6    736  70.3        -  FN-AG-CDR
  16     40   3.8     41   3.9    776  74.1        -  APPEND
  18     37   3.5     51   4.9    813  77.7        -  REPLACE
  20     29   2.8     29   2.8    842  80.4        -  FN-OCTETP
  22     24   2.3     24   2.3    866  82.7        -  LENGTH
  24     19   1.8     28   2.7    885  84.5        -  FN-EXP-481-SCAN
  26     19   1.8     27   2.6    904  86.3        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
  28     17   1.6     17   1.6    921  88.0        -  foreign function fstatat
  30     16   1.5     16   1.5    937  89.5        -  foreign function clock_nanosleep
  32     13   1.2     13   1.2    950  90.7        -  foreign function poll
  34     12   1.1     12   1.1    962  91.9        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  36      9   0.9      9   0.9    971  92.7        -  foreign function pthread_sigmask
  38      8   0.8      8   0.8    979  93.5        -  (FLET "WRAPPER2" :IN FNN-OCTET-LIST-P)
  40      6   0.6      6   0.6    985  94.1        -  FN-EXP-481-NEXT
  42      4   0.4      4   0.4    989  94.5        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-SET/CHECK-BOUNDS
  44      3   0.3     12   1.1    992  94.7        -  SB-IMPL::UNPARSE-NATIVE-UNIX-NAMESTRING
  46      3   0.3      3   0.3    995  95.0        -  foreign function gc_find_freeish_pages
  48      3   0.3      3   0.3    998  95.3        -  foreign function __write
  50      2   0.2    221  21.1   1000  95.5        -  FN-NNTP-STUFF-LINES
  52      2   0.2     44   4.2   1002  95.7        -  FNH-THREAD
  54      2   0.2      3   0.3   1004  95.9        -  GET-OUTPUT-STREAM-STRING
  56      2   0.2      3   0.3   1006  96.1        -  FNN-COUNTERPART
  58      2   0.2      2   0.2   1008  96.3        -  SB-VM::SIMD-POSITION32-AVX2
  60      2   0.2      2   0.2   1010  96.5        -  FN-WIRE-STUFF-LINE
  62      1   0.1    738  70.5   1011  96.6        -  FNN-OWNER-SHARED-ACTION-LOCKED
  64      1   0.1    634  60.6   1012  96.7        -  FNN-CORE-STATE
  66      1   0.1    205  19.6   1013  96.8        -  FN-AG-APPEND-EXEC
  68      1   0.1     48   4.6   1014  96.8        -  PROBE-FILE
  70      1   0.1     17   1.6   1015  96.9        -  foreign function nanosleep
  72      1   0.1     12   1.1   1016  97.0        -  PATHNAME
  74      1   0.1     11   1.1   1017  97.1        -  PARSE-NAMESTRING
  76      1   0.1      7   0.7   1018  97.2        -  foreign function lisp_alloc
  78      1   0.1      6   0.6   1019  97.3        -  SB-IMPL::INTERN-PATHNAME
  80      1   0.1      3   0.3   1020  97.4        -  CONCATENATE
------------------------------------------------------------------------
          3   0.3                                     elsewhere
