
Number of samples:   39594
Sample interval:     0.001 seconds
Total sampling time: 39.594 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2195634 "main thread" RUNNING {1200068003}> (4961208/8388608 bytes, 11831 hash buckets)
   #<THREAD tid=2195636 "fn-heap" RUNNING {1211A7E0E3}> (12536/1048576 bytes, 91 hash buckets)
   #<THREAD tid=2195635 "finalizer" RUNNING {1210ECE2A3}> (592/1048576 bytes, 4 hash buckets)
   #<THREAD tid=2195637 "fn-prof" RUNNING {1211AAB4B3}> (6120/1048576 bytes, 42 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2   6814  17.2  11214  28.3   6814  17.2        -  FN-CBOR-OCTET-LISTP
   4   5114  12.9   5114  12.9  11928  30.1        -  FN-CBOR-OCTETP
   6   3723   9.4   7441  18.8  15651  39.5        -  FN-RECORD-STRING-OCTETS-AUX
   8   2520   6.4   8667  21.9  18171  45.9        -  FN-RECORD-PAYLOADP
  10   1727   4.4   1727   4.4  19898  50.3        -  FN-CBOR-AT-MOSTP
  12   1570   4.0   1658   4.2  21468  54.2        -  FN-RECORD-STRING-OCTETS
  14   1493   3.8   1560   3.9  22961  58.0        -  TAKE
  16   1420   3.6   1423   3.6  24381  61.6        -  FN-SHS-ROUNDS
  18   1224   3.1   1676   4.2  25605  64.7        -  FN-SCCB-SLICE-ACC
  20    771   1.9   4117  10.4  26376  66.6        -  FN-SHS-DIGEST-LIST
  22    694   1.8   2071   5.2  27070  68.4        -  FN-CCC-FRAMED-LINK
  24    617   1.6    617   1.6  27687  69.9        -  NTHCDR
  26    605   1.5    605   1.5  28292  71.5        -  FN-SHS-EXTEND
  28    601   1.5   1027   2.6  28893  73.0        -  FN-SHS-LOAD-LIST-WORD
  30    529   1.3    529   1.3  29422  74.3        -  FN-CBOR-AT-LEASTP
  32    502   1.3    502   1.3  29924  75.6        -  GENERIC--
  34    494   1.2    791   2.0  30418  76.8        -  FN-OCTET-LISTP
  36    467   1.2    467   1.2  30885  78.0        -  foreign function pthread_sigmask
  38    458   1.2    458   1.2  31343  79.2        -  FN-OCTETS$C-GET
  40    455   1.1    471   1.2  31798  80.3        -  APPEND
  42    418   1.1    418   1.1  32216  81.4        -  FN-SHS-LIST-BYTE
  44    416   1.1    730   1.8  32632  82.4        -  SB-KERNEL:VECTOR-TO-LIST
  46    375   0.9    387   1.0  33007  83.4        -  FN-RECORD-NONEMPTY-AT-MOSTP
  48    330   0.8  11818  29.8  33337  84.2        -  FN-CCC-DECODE-LINK
  50    330   0.8   1483   3.7  33667  85.0        -  FN-CC-DECODE-EXACT
  52    327   0.8    327   0.8  33994  85.9        -  FN-OCTETP
  54    267   0.7    578   1.5  34261  86.5        -  FN-CBOR-VALUEP-BOUNDED
  56    249   0.6    627   1.6  34510  87.2        -  REPLACE
  58    212   0.5    423   1.1  34722  87.7        -  FN-SCC-OCTETS-CHARS
  60    168   0.4    168   0.4  34890  88.1        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  62    149   0.4    149   0.4  35039  88.5        -  %DATA-VECTOR-AND-INDEX
  64    146   0.4    146   0.4  35185  88.9        -  SB-KERNEL:TWO-ARG-<=
  66    142   0.4    142   0.4  35327  89.2        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  68    140   0.4    403   1.0  35467  89.6        -  FN-RECORD-ASCII-OCTET-LISTP
  70    130   0.3    269   0.7  35597  89.9        -  FN-RECORD-ASCII-OCTETP
  72    128   0.3    128   0.3  35725  90.2        -  SB-IMPL::%SXHASH-STRING/TRUNCATING
  74    127   0.3    127   0.3  35852  90.5        -  foreign function read
  76    124   0.3    709   1.8  35976  90.9        -  FN-CBOR-ENCODE-BOUNDED
  78    123   0.3    123   0.3  36099  91.2        -  FN-ARTICLE-BODY-CRLFP
  80    117   0.3    230   0.6  36216  91.5        -  FN-RECORD-OCTETS-CHARS
------------------------------------------------------------------------
        409   1.0                                     elsewhere
