
Number of samples:   882
Sample interval:     0.001 seconds
Total sampling time: 0.882 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2409144 "fn-heap" RUNNING {1211B03D13}> (48/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2409146 "fn service log writer" RUNNING {121226E683}> (448/1048576 bytes, 3 hash buckets)
   #<THREAD tid=2409810 "fn pull feed" RUNNING {122B3F4A73}> (144/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2409812 "fn owner client" RUNNING {122BE90963}> (203336/1048576 bytes, 640 hash buckets)
   #<THREAD tid=2409811 "fn local control accept" RUNNING {122BA66DC3}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2409145 "fn-prof" RUNNING {12120FB363}> (128/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     85   9.6     85   9.6     85   9.6        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
   4     39   4.4     39   4.4    124  14.1        -  FN-AG-CDR
   6     36   4.1     60   6.8    160  18.1        -  FN-CBOR-OCTET-LISTP
   8     33   3.7     33   3.7    193  21.9        -  FN-CBOR-OCTETP
  10     27   3.1     27   3.1    220  24.9        -  FN-WIRE-AG-CDR
  12     25   2.8     25   2.8    245  27.8        -  FN-AG-CAR
  14     19   2.2     19   2.2    264  29.9        -  FN-CCAR-SEEK
  16     17   1.9    155  17.6    281  31.9        -  FN-SCAR-FEED-BYTE
  18     17   1.9     17   1.9    298  33.8        -  SB-KERNEL:STRING=*
  20     16   1.8     16   1.8    314  35.6        -  foreign function __open64
  22     13   1.5     21   2.4    327  37.1        -  FN-OWN-REFRESH
  24     13   1.5     13   1.5    340  38.5        -  FN-SHS-ROUNDS
  26     12   1.4     29   3.3    352  39.9        -  FN-RECORD-PAYLOADP
  28     11   1.2     20   2.3    363  41.2        -  REPLACE
  30     10   1.1    248  28.1    373  42.3        -  FN-SCAR-FEED-COUNTED
  32     10   1.1     63   7.1    383  43.4        -  FN-WIRE-FEED-BYTE
  34     10   1.1     10   1.1    393  44.6        -  FN-CBOR-AT-MOSTP
  36     10   1.1     10   1.1    403  45.7        -  FN-WIRE-AG-CAR
  38      9   1.0     15   1.7    412  46.7        -  SB-KERNEL:VECTOR-TO-LIST
  40      9   1.0      9   1.0    421  47.7        -  APPEND
  42      9   1.0      9   1.0    430  48.8        -  SB-IMPL::APPEND2
  44      8   0.9     10   1.1    438  49.7        -  FN-SERVED-CONN-GROUP-INDEX
  46      8   0.9      8   0.9    446  50.6        -  FN-ARTICLE-BODY-CRLFP
  48      8   0.9      8   0.9    454  51.5        -  SB-IMPL::LIST-REVERSE
  50      7   0.8      7   0.8    461  52.3        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  52      7   0.8      7   0.8    468  53.1        -  foreign function __write
  54      7   0.8      7   0.8    475  53.9        -  FN-ACAR-NNTP-PROJECTIONP
  56      6   0.7     16   1.8    481  54.5        -  FN-SERVED-CONN-INDEX
  58      6   0.7     12   1.4    487  55.2        -  FN-INJ-NTH
  60      6   0.7     11   1.2    493  55.9        -  FN-SHS-LOAD-LIST-WORD
  62      6   0.7      6   0.7    499  56.6        -  FN-SHS-EXTEND
  64      6   0.7      6   0.7    505  57.3        -  FN-INJ-CDR
  66      6   0.7      6   0.7    511  57.9        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  68      5   0.6     13   1.5    516  58.5        -  FN-WIRE-STATE-BODY-LIMIT
  70      5   0.6      5   0.6    521  59.1        -  LENGTH
  72      5   0.6      5   0.6    526  59.6        -  GENERIC--
  74      5   0.6      5   0.6    531  60.2        -  foreign function rename
  76      4   0.5      8   0.9    535  60.7        -  FN-WIRE-LIST-LENGTH
  78      4   0.5      7   0.8    539  61.1        -  FN-SERVED-CONN-VERDICTS
  80      4   0.5      5   0.6    543  61.6        -  FN-SHS-LIST-BYTE
