
Number of samples:   757
Sample interval:     0.001 seconds
Total sampling time: 0.757 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2409888 "fn-heap" RUNNING {121190BEF3}> (480/1048576 bytes, 3 hash buckets)
   #<THREAD tid=2409892 "fn service log writer" RUNNING {121206E6B3}> (296/1048576 bytes, 2 hash buckets)
   #<THREAD tid=2410565 "fn owner client" RUNNING {122BDB0673}> (157856/1048576 bytes, 520 hash buckets)
   #<THREAD tid=2409891 "fn-prof" RUNNING {1211F03263}> (136/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     99  13.1     99  13.1     99  13.1        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
   4     50   6.6     50   6.6    149  19.7        -  SB-KERNEL:STRING=*
   6     38   5.0     38   5.0    187  24.7        -  FN-CBOR-OCTETP
   8     30   4.0     60   7.9    217  28.7        -  FN-CBOR-OCTET-LISTP
  10     23   3.0     23   3.0    240  31.7        -  FN-AG-CDR
  12     16   2.1     16   2.1    256  33.8        -  FN-AG-CAR
  14     12   1.6     44   5.8    268  35.4        -  FN-RECORD-PAYLOADP
  16     12   1.6     15   2.0    280  37.0        -  FN-OWN-REFRESH
  18     11   1.5     11   1.5    291  38.4        -  FN-WIRE-AG-CDR
  20     10   1.3     10   1.3    301  39.8        -  FN-ARTICLE-BODY-CRLFP
  22      9   1.2    103  13.6    310  41.0        -  FN-FIND-ARTICLE
  24      9   1.2      9   1.2    319  42.1        -  foreign function __write
  26      8   1.1    165  21.8    327  43.2        -  FN-SCAR-FEED-COUNTED
  28      8   1.1      8   1.1    335  44.3        -  FN-CCAR-SEEK
  30      7   0.9    101  13.3    342  45.2        -  FN-SCAR-FEED-BYTE
  32      7   0.9     45   5.9    349  46.1        -  FN-WIRE-FEED-BYTE
  34      7   0.9      8   1.1    356  47.0        -  SB-IMPL::LIST-REVERSE
  36      7   0.9      7   0.9    363  48.0        -  FN-CBOR-AT-MOSTP
