
Number of samples:   129
Sample interval:     0.001 seconds
Total sampling time: 0.129 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2442691 "fn-sprof" RUNNING {120F5D80B3}> (536/1048576 bytes, 4 hash buckets)
   #<THREAD tid=2442694 "fn owner client" RUNNING {120FBA5163}> (30344/1048576 bytes, 113 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2      7   5.4      7   5.4      7   5.4        -  FN-SHA256-W32
   4      6   4.7     12   9.3     13  10.1        -  FN-SHA256-ROTR32
   6      6   4.7      6   4.7     19  14.7        -  foreign function __open64
   8      6   4.7      6   4.7     25  19.4        -  foreign function rename
  10      5   3.9      5   3.9     30  23.3        -  foreign function fsync
  12      4   3.1      4   3.1     34  26.4        -  ASH
  14      4   3.1      4   3.1     38  29.5        -  foreign function __write
  16      4   3.1      4   3.1     42  32.6        -  FN-SHA256-NTHX
  18      3   2.3      7   5.4     45  34.9        -  FN-ARTICLE-ASCII-DOWNCASE
  20      3   2.3      3   2.3     48  37.2        -  foreign function fstatat
  22      3   2.3      3   2.3     51  39.5        -  FN-RECORD-STRING-OCTETS
  24      3   2.3      3   2.3     54  41.9        -  GENERIC--
  26      3   2.3      3   2.3     57  44.2        -  foreign function __close
  28      3   2.3      3   2.3     60  46.5        -  FN-CBOR-OCTETP
  30      2   1.6     22  17.1     62  48.1        -  FN-SHA256-SCHEDULE-AUX
  32      2   1.6     13  10.1     64  49.6        -  FN-SHA256-ROUNDS
  34      2   1.6      5   3.9     66  51.2        -  FN-CBOR-OCTET-LISTP
  36      2   1.6      4   3.1     68  52.7        -  FN-SHA256-FIRSTN
  38      2   1.6      2   1.6     70  54.3        -  SB-IMPL::APPEND2
  40      2   1.6      2   1.6     72  55.8        -  FN-SHA256-SHR32
  42      2   1.6      2   1.6     74  57.4        -  APPEND
  44      2   1.6      2   1.6     76  58.9        -  foreign function link
  46      2   1.6      2   1.6     78  60.5        -  foreign function unlink
  48      1   0.8     36  27.9     79  61.2        -  FN-SHA256-COMPRESS
  50      1   0.8     21  16.3     80  62.0        -  FN-OWN-FEED-INTENT-ID
  52      1   0.8      8   6.2     81  62.8        -  FN-SHA256-SSIG1
  54      1   0.8      6   4.7     82  63.6        -  FNN-DURABLE-BARRIER
  56      1   0.8      3   2.3     83  64.3        -  FN-ID-HEX-OCTETS
  58      1   0.8      3   2.3     84  65.1        -  FN-SHA256-MAJ
  60      1   0.8      3   2.3     85  65.9        -  FNN-COUNTERPART
  62      1   0.8      3   2.3     86  66.7        -  FN-SHA256-BSIG1
  64      1   0.8      3   2.3     87  67.4        -  FNN-OWNER-CONNECTION-CALL
  66      1   0.8      2   1.6     88  68.2        -  FN-SHA256-APPX
  68      1   0.8      2   1.6     89  69.0        -  REPLACE
  70      1   0.8      2   1.6     90  69.8        -  FN-SHA256-WORDS-OCTETS
  72      1   0.8      2   1.6     91  70.5        -  FN-NNTP-STRING-OCTETS-AUX
  74      1   0.8      2   1.6     92  71.3        -  FN-SHA256-FIX-OCTETS
  76      1   0.8      2   1.6     93  72.1        -  SB-IMPL::%LOOKUP-SYMBOL
  78      1   0.8      2   1.6     94  72.9        -  FN-RECORD-OCTETS-CHARS
  80      1   0.8      2   1.6     95  73.6        -  FN-RECORD-GROUP-NAMEP
------------------------------------------------------------------------
          0   0.0                                     elsewhere
