
Number of samples:   159
Sample interval:     0.001 seconds
Total sampling time: 0.159 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2452450 "fn-sprof" RUNNING {120F5D05D3}> (568/1048576 bytes, 4 hash buckets)
   #<THREAD tid=2452453 "fn owner client" RUNNING {120FB9D163}> (36512/1048576 bytes, 136 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     11   6.9     11   6.9     11   6.9        -  foreign function fsync
   4      9   5.7      9   5.7     20  12.6        -  FN-SHA256-W32
   6      8   5.0      8   5.0     28  17.6        -  foreign function __write
   8      7   4.4     15   9.4     35  22.0        -  FN-SHA256-ROTR32
  10      7   4.4     14   8.8     42  26.4        -  FN-RECORD-STRING-OCTETS-AUX
  12      7   4.4      7   4.4     49  30.8        -  foreign function __open64
  14      6   3.8      6   3.8     55  34.6        -  SB-KERNEL:TWO-ARG-IOR
  16      5   3.1      5   3.1     60  37.7        -  ASH
  18      4   2.5      4   2.5     64  40.3        -  foreign function rename
  20      4   2.5      4   2.5     68  42.8        -  foreign function link
  22      3   1.9      8   5.0     71  44.7        -  FN-SHA256-BSIG1
  24      3   1.9      6   3.8     74  46.5        -  FN-SHA256-SSIG1
  26      3   1.9      6   3.8     77  48.4        -  FN-SHA256-FIX-OCTETS
  28      3   1.9      3   1.9     80  50.3        -  FN-CBOR-OCTETP
  30      2   1.3     24  15.1     82  51.6        -  FN-SHA256-ROUNDS
  32      2   1.3     19  11.9     84  52.8        -  FN-SHA256-SCHEDULE-AUX
  34      2   1.3      8   5.0     86  54.1        -  FN-SHA256-WORDS16
  36      2   1.3      4   2.5     88  55.3        -  FN-RETAIN-OBLIGATION-IDS
  38      2   1.3      4   2.5     90  56.6        -  FN-SHA256-FIRSTN
  40      2   1.3      4   2.5     92  57.9        -  FN-SHA256-MAJ
  42      2   1.3      2   1.3     94  59.1        -  SB-IMPL::STRING-OUTPUT-STREAM-NEW-BUFFER
  44      2   1.3      2   1.3     96  60.4        -  SB-KERNEL:VECTOR-TO-LIST
  46      2   1.3      2   1.3     98  61.6        -  FN-SHA256-CH
  48      2   1.3      2   1.3    100  62.9        -  GENERIC--
  50      2   1.3      2   1.3    102  64.2        -  FN-SHA256-NTHX
  52      2   1.3      2   1.3    104  65.4        -  FN-AG-CAR
  54      2   1.3      2   1.3    106  66.7        -  FN-RECORD-STRING-OCTETS
  56      2   1.3      2   1.3    108  67.9        -  SB-IMPL::APPEND2
  58      2   1.3      2   1.3    110  69.2        -  FN-ARTICLE-HEADER-BYTES-P
  60      1   0.6    145  91.2    111  69.8        -  (FLET "WITHOUT-INTERRUPTS-BODY-" :IN SB-THREAD::FAST-CALL-WITH-MUTEX)
  62      1   0.6     34  21.4    112  70.4        -  FN-ID-SUBJECT-OF-PAYLOAD
  64      1   0.6     12   7.5    113  71.1        -  FNN-DURABLE-BARRIER
  66      1   0.6      6   3.8    114  71.7        -  FN-SHA256-SSIG0
  68      1   0.6      6   3.8    115  72.3        -  FN-SHA256-BSIG0
  70      1   0.6      5   3.1    116  73.0        -  SB-IMPL::%WRITE-STRING
  72      1   0.6      3   1.9    117  73.6        -  FN-RECORD-PAYLOADP
  74      1   0.6      2   1.3    118  74.2        -  FN-ARTICLE-ASCII-DOWNCASE
  76      1   0.6      2   1.3    119  74.8        -  FN-SHA256-APPX
  78      1   0.6      2   1.3    120  75.5        -  FN-INDEX-BUILD
  80      1   0.6      2   1.3    121  76.1        -  FN-SHA256-ZEROS
------------------------------------------------------------------------
          1   0.6                                     elsewhere
