
Number of samples:   637
Sample interval:     0.001 seconds
Total sampling time: 0.637 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2445444 "main thread" RUNNING {1200068003}> (264/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2445446 "fn-sprof" RUNNING {120F5D80B3}> (2904/1048576 bytes, 20 hash buckets)
   #<THREAD tid=2445450 "fn owner client" RUNNING {120FBA5163}> (135376/1048576 bytes, 492 hash buckets)
   #<THREAD tid=2445448 "fn outbound feed" RUNNING {120FA3B303}> (1016/1048576 bytes, 6 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     56   8.8     56   8.8     56   8.8        -  foreign function fsync
   4     38   6.0     38   6.0     94  14.8        -  FN-SHA256-NTHX
   6     36   5.7     71  11.1    130  20.4        -  FN-SHA256-ROTR32
   8     33   5.2     33   5.2    163  25.6        -  FN-SHA256-W32
  10     28   4.4     28   4.4    191  30.0        -  ASH
  12     23   3.6     23   3.6    214  33.6        -  foreign function __open64
  14     17   2.7    109  17.1    231  36.3        -  FN-SHA256-ROUNDS
  16     16   2.5     16   2.5    247  38.8        -  foreign function __write
  18     16   2.5     16   2.5    263  41.3        -  foreign function rename
  20     15   2.4     28   4.4    278  43.6        -  FN-RECORD-STRING-OCTETS-AUX
  22     14   2.2     14   2.2    292  45.8        -  SB-KERNEL:TWO-ARG-IOR
  24     12   1.9    105  16.5    304  47.7        -  FN-SHA256-SCHEDULE-AUX
  26      9   1.4     15   2.4    313  49.1        -  FN-CBOR-OCTET-LISTP
  28      8   1.3     18   2.8    321  50.4        -  FN-SHA256-FIX-OCTETS
  30      8   1.3      8   1.3    329  51.6        -  SB-IMPL::LIST-REVERSE
  32      7   1.1     14   2.2    336  52.7        -  FN-SHA256-FIRSTN
  34      7   1.1      7   1.1    343  53.8        -  FN-CBOR-OCTETP
  36      7   1.1      7   1.1    350  54.9        -  SB-KERNEL:TWO-ARG-XOR
  38      7   1.1      7   1.1    357  56.0        -  FN-AG-CAR
  40      6   0.9     13   2.0    363  57.0        -  FN-SHA256-MAJ
  42      6   0.9      6   0.9    369  57.9        -  FN-RECORD-STRING-OCTETS
  44      6   0.9      6   0.9    375  58.9        -  FN-AG-CDR
  46      6   0.9      6   0.9    381  59.8        -  APPEND
  48      6   0.9      6   0.9    387  60.8        -  foreign function link
  50      5   0.8     31   4.9    392  61.5        -  FN-SHA256-BSIG0
  52      5   0.8     10   1.6    397  62.3        -  FN-SHA256-APPX
  54      5   0.8     10   1.6    402  63.1        -  FN-SHA256-CH
  56      5   0.8      8   1.3    407  63.9        -  FN-SHA256-SHR32
  58      5   0.8      5   0.8    412  64.7        -  foreign function clock_nanosleep
  60      5   0.8      5   0.8    417  65.5        -  GENERIC--
  62      5   0.8      5   0.8    422  66.2        -  FN-SHA256-NTHCDRX
  64      5   0.8      5   0.8    427  67.0        -  foreign function unlink
  66      4   0.6      9   1.4    431  67.7        -  FN-SHA256-PAD
  68      4   0.6      8   1.3    435  68.3        -  FN-ARTICLE-NEXT-LINE-AUX
  70      4   0.6      7   1.1    439  68.9        -  SB-KERNEL:VECTOR-TO-LIST
  72      4   0.6      4   0.6    443  69.5        -  foreign function __close
  74      3   0.5     26   4.1    446  70.0        -  FN-ARTICLE-PARSE-LINES
  76      3   0.5     25   3.9    449  70.5        -  FN-SHA256-SSIG1
  78      3   0.5     12   1.9    452  71.0        -  FN-SHA256-WORDS16
  80      3   0.5     11   1.7    455  71.4        -  FN-RECORD-PAYLOADP
------------------------------------------------------------------------
          3   0.5                                     elsewhere
