
Number of samples:   607
Sample interval:     0.001 seconds
Total sampling time: 0.607 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2442513 "fn-sprof" RUNNING {120F5785D3}> (1288/1048576 bytes, 10 hash buckets)
   #<THREAD tid=2442516 "fn owner client" RUNNING {120FB45163}> (139728/1048576 bytes, 497 hash buckets)
   #<THREAD tid=2442515 "fn local control accept" RUNNING {120FAA3433}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2442514 "fn outbound feed" RUNNING {120F9DB303}> (776/1048576 bytes, 5 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     34   5.6     34   5.6     34   5.6        -  FN-SHA256-W32
   4     32   5.3     32   5.3     66  10.9        -  ASH
   6     32   5.3     32   5.3     98  16.1        -  FN-SHA256-NTHX
   8     31   5.1     68  11.2    129  21.3        -  FN-SHA256-ROTR32
  10     30   4.9     30   4.9    159  26.2        -  foreign function __open64
  12     26   4.3     52   8.6    185  30.5        -  FN-RECORD-STRING-OCTETS-AUX
  14     20   3.3     20   3.3    205  33.8        -  foreign function fsync
  16     19   3.1     19   3.1    224  36.9        -  foreign function rename
  18     14   2.3    121  19.9    238  39.2        -  FN-SHA256-ROUNDS
  20     13   2.1     13   2.1    251  41.4        -  SB-KERNEL:TWO-ARG-IOR
  22     12   2.0     12   2.0    263  43.3        -  foreign function __write
  24     10   1.6     10   1.6    273  45.0        -  GENERIC--
  26     10   1.6     10   1.6    283  46.6        -  FN-SHA256-REVX
  28     10   1.6     10   1.6    293  48.3        -  FN-RECORD-STRING-OCTETS
  30      9   1.5     23   3.8    302  49.8        -  FN-SHA256-MAJ
  32      9   1.5     18   3.0    311  51.2        -  FN-SHA256-FIX-OCTETS
  34      8   1.3     94  15.5    319  52.6        -  FN-SHA256-SCHEDULE-AUX
  36      8   1.3     17   2.8    327  53.9        -  FN-SHA256-FIRSTN
  38      8   1.3     13   2.1    335  55.2        -  FN-CBOR-OCTET-LISTP
  40      8   1.3     13   2.1    343  56.5        -  FN-SHA256-CH
  42      8   1.3      9   1.5    351  57.8        -  SB-IMPL::LIST-REVERSE
  44      8   1.3      8   1.3    359  59.1        -  SB-KERNEL:TWO-ARG-XOR
  46      7   1.2     31   5.1    366  60.3        -  FN-SHA256-BSIG0
  48      7   1.2     14   2.3    373  61.4        -  FN-SHA256-APPX
  50      7   1.2     10   1.6    380  62.6        -  FN-ARTICLE-NEXT-LINE-AUX
  52      7   1.2      7   1.2    387  63.8        -  FN-CBOR-OCTETP
  54      6   1.0     31   5.1    393  64.7        -  FN-SHA256-SSIG0
  56      5   0.8      5   0.8    398  65.6        -  SB-IMPL::APPEND2
  58      4   0.7      7   1.2    402  66.2        -  FN-SHA256-SHR32
  60      4   0.7      4   0.7    406  66.9        -  foreign function clock_nanosleep
  62      4   0.7      4   0.7    410  67.5        -  FN-SERVED-MAKE-RESULT
  64      4   0.7      4   0.7    414  68.2        -  GENERIC-+
  66      4   0.7      4   0.7    418  68.9        -  foreign function syscall
  68      4   0.7      4   0.7    422  69.5        -  SB-KERNEL:TWO-ARG-AND
  70      4   0.7      4   0.7    426  70.2        -  foreign function unlink
  72      4   0.7      4   0.7    430  70.8        -  FN-AG-CAR
  74      4   0.7      4   0.7    434  71.5        -  foreign function link
  76      3   0.5     34   5.6    437  72.0        -  FN-SHA256-BSIG1
  78      3   0.5     25   4.1    440  72.5        -  FN-ARTICLE-PARSE-LINES
  80      3   0.5     12   2.0    443  73.0        -  FN-RECORD-PAYLOADP
------------------------------------------------------------------------
          3   0.5                                     elsewhere
