
Number of samples:   828
Sample interval:     0.001 seconds
Total sampling time: 0.8280000000000001 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3258717 "main thread" RUNNING {1200068003}> (288/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3258722 "fn owner client" RUNNING {1210424F13}> (263960/1048576 bytes, 691 hash buckets)
   #<THREAD tid=3258720 "fn outbound feed" RUNNING {12102BB303}> (600/1048576 bytes, 4 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     78   9.4    126  15.2     78   9.4        -  FN-CBOR-OCTET-LISTP
   4     73   8.8     73   8.8    151  18.2        -  FN-AG-CDR
   6     61   7.4     61   7.4    212  25.6        -  FN-CBOR-OCTETP
   8     57   6.9     57   6.9    269  32.5        -  FN-WIRE-AG-CDR
  10     29   3.5     29   3.5    298  36.0        -  FN-AG-CAR
  12     26   3.1    484  58.5    324  39.1        -  FN-SCAR-FEED-COUNTED
  14     25   3.0     94  11.4    349  42.1        -  FN-RECORD-PAYLOADP
  16     22   2.7     22   2.7    371  44.8        -  FN-SHS-ROUNDS
  18     20   2.4    143  17.3    391  47.2        -  FN-WIRE-FEED-BYTE
  20     16   1.9     22   2.7    407  49.2        -  FN-INJ-NTH
  22     16   1.9     16   1.9    423  51.1        -  FN-CBOR-AT-MOSTP
  24     15   1.8     34   4.1    438  52.9        -  FN-WIRE-LIST-LENGTH
  26     15   1.8     15   1.8    453  54.7        -  FN-WIRE-AG-CAR
  28     13   1.6     24   2.9    466  56.3        -  FN-INJ-APPEND
  30     13   1.6     19   2.3    479  57.9        -  REPLACE
  32     13   1.6     13   1.6    492  59.4        -  FN-ARTICLE-BODY-CRLFP
  34     13   1.6     13   1.6    505  61.0        -  foreign function pthread_sigmask
  36     12   1.4    294  35.5    517  62.4        -  FN-SCAR-FEED-BYTE
  38     11   1.3     25   3.0    528  63.8        -  FN-WIRE-STATE-LINE-LIMIT
  40     11   1.3     11   1.3    539  65.1        -  FN-SHS-EXTEND
  42     10   1.2     20   2.4    549  66.3        -  FN-SERVED-CONN-INDEX
  44      9   1.1     20   2.4    558  67.4        -  FN-SERVED-CONN-VERDICTS
  46      8   1.0      9   1.1    566  68.4        -  FN-WIRE-STATE-LINE-LEN
  48      8   1.0      8   1.0    574  69.3        -  GENERIC-+
  50      8   1.0      8   1.0    582  70.3        -  FN-SERVED-COUNTED-RESULT
  52      7   0.8     14   1.7    589  71.1        -  FN-WIRE-STATE-BODY-LIMIT
  54      6   0.7     13   1.6    595  71.9        -  FN-SERVED-CONN-OBSERVATION
  56      6   0.7     13   1.6    601  72.6        -  SB-KERNEL:VECTOR-TO-LIST
  58      6   0.7     10   1.2    607  73.3        -  FN-WIRE-STATE-PENDING-CRP
  60      6   0.7      6   0.7    613  74.0        -  LENGTH
  62      6   0.7      6   0.7    619  74.8        -  FN-OCT-BUF-LIST-DOWN
  64      6   0.7      6   0.7    625  75.5        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
  66      6   0.7      6   0.7    631  76.2        -  FN-INJ-CDR
  68      5   0.6     29   3.5    636  76.8        -  FN-SERVED-TLS-HANDSHAKINGP
  70      5   0.6     18   2.2    641  77.4        -  FN-WIRE-STATE-BODY-SIZE
  72      5   0.6     17   2.1    646  78.0        -  FN-SERVED-CONN-GROUP-INDEX
  74      5   0.6      9   1.1    651  78.6        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
  76      5   0.6      7   0.8    656  79.2        -  FN-SHS-LOAD-LIST-WORD
  78      5   0.6      6   0.7    661  79.8        -  FN-SERVED-MAKE-RESULT
  80      5   0.6      6   0.7    666  80.4        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
------------------------------------------------------------------------
          5   0.6                                     elsewhere
