
Number of samples:   1178
Sample interval:     0.001 seconds
Total sampling time: 1.178 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3180668 "fn-prof" RUNNING {120FDD0533}> (144/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3180741 "fn owner client" RUNNING {121039CF13}> (366896/1048576 bytes, 974 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     94   8.0     94   8.0     94   8.0        -  FN-AG-CDR
   4     89   7.6    161  13.7    183  15.5        -  FN-CBOR-OCTET-LISTP
   6     83   7.0     83   7.0    266  22.6        -  FN-CBOR-OCTETP
   8     76   6.5     76   6.5    342  29.0        -  FN-WIRE-AG-CDR
  10     41   3.5     41   3.5    383  32.5        -  FN-SHS-ROUNDS
  12     35   3.0    117   9.9    418  35.5        -  FN-RECORD-PAYLOADP
  14     33   2.8    661  56.1    451  38.3        -  FN-SCAR-FEED-COUNTED
  16     31   2.6     31   2.6    482  40.9        -  FN-AG-CAR
  18     27   2.3    405  34.4    509  43.2        -  FN-SCAR-FEED-BYTE
  20     25   2.1     25   2.1    534  45.3        -  FN-CBOR-AT-MOSTP
  22     24   2.0     53   4.5    558  47.4        -  FN-WIRE-LIST-LENGTH
  24     23   2.0    187  15.9    581  49.3        -  FN-WIRE-FEED-BYTE
  26     23   2.0     47   4.0    604  51.3        -  FN-INJ-APPEND
  28     20   1.7     30   2.5    624  53.0        -  FN-INJ-NTH
  30     18   1.5     18   1.5    642  54.5        -  FN-WIRE-AG-CAR
  32     17   1.4     35   3.0    659  55.9        -  REPLACE
  34     17   1.4     17   1.4    676  57.4        -  FN-ARTICLE-BODY-CRLFP
  36     17   1.4     17   1.4    693  58.8        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  38     16   1.4     16   1.4    709  60.2        -  foreign function pthread_sigmask
  40     15   1.3     30   2.5    724  61.5        -  FN-WIRE-STATE-LINE-LIMIT
  42     14   1.2     35   3.0    738  62.6        -  SB-KERNEL:VECTOR-TO-LIST
  44     14   1.2     28   2.4    752  63.8        -  FN-SERVED-CONN-INDEX
  46     13   1.1     21   1.8    765  64.9        -  FN-WIRE-STATE-BODY-SIZE
  48     13   1.1     14   1.2    778  66.0        -  FN-SHS-LIST-BYTE
  50     13   1.1     13   1.1    791  67.1        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  52     13   1.1     13   1.1    804  68.3        -  FN-SHS-EXTEND
  54     13   1.1     13   1.1    817  69.4        -  GENERIC-+
  56     12   1.0     27   2.3    829  70.4        -  FN-SHS-LOAD-LIST-WORD
  58     12   1.0     21   1.8    841  71.4        -  FN-SERVED-CONN-INJECTION
  60     11   0.9     11   0.9    852  72.3        -  FN-WIRE-MAKE-STATE
  62     10   0.8     28   2.4    862  73.2        -  FN-SERVED-CONN-VERDICTS
  64     10   0.8     10   0.8    872  74.0        -  FN-INJ-CDR
  66      9   0.8     99   8.4    881  74.8        -  FN-SHS-DIGEST-LIST
  68      9   0.8     17   1.4    890  75.6        -  FN-SERVED-CONN-OBSERVATION
  70      9   0.8     14   1.2    899  76.3        -  FN-WIRE-STATE-PENDING-CRP
  72      9   0.8      9   0.8    908  77.1        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  74      8   0.7     12   1.0    916  77.8        -  FN-WIRE-STATE-BODY-REV
  76      8   0.7      8   0.7    924  78.4        -  APPEND
  78      7   0.6     48   4.1    931  79.0        -  FN-SERVED-TLS-HANDSHAKINGP
  80      7   0.6     18   1.5    938  79.6        -  FN-WIRE-STATE-BODY-LIMIT
------------------------------------------------------------------------
          4   0.3                                     elsewhere
