
Number of samples:   1102
Sample interval:     0.001 seconds
Total sampling time: 1.102 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3230944 "fn-prof" RUNNING {120FDD0533}> (328/1048576 bytes, 2 hash buckets)
   #<THREAD tid=3230943 "finalizer" RUNNING {120FD4D683}> (128/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3230947 "fn owner client" RUNNING {121039CF13}> (334128/1048576 bytes, 886 hash buckets)
   #<THREAD tid=3230946 "fn local control accept" RUNNING {12102FB403}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3230945 "fn outbound feed" RUNNING {1210233303}> (352/1048576 bytes, 2 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     94   8.5    158  14.3     94   8.5        -  FN-CBOR-OCTET-LISTP
   4     92   8.3     92   8.3    186  16.9        -  FN-WIRE-AG-CDR
   6     91   8.3     91   8.3    277  25.1        -  FN-AG-CDR
   8     81   7.4     81   7.4    358  32.5        -  FN-CBOR-OCTETP
  10     40   3.6     40   3.6    398  36.1        -  FN-SHS-ROUNDS
  12     31   2.8    118  10.7    429  38.9        -  FN-RECORD-PAYLOADP
  14     25   2.3    207  18.8    454  41.2        -  FN-WIRE-FEED-BYTE
  16     24   2.2    607  55.1    478  43.4        -  FN-SCAR-FEED-COUNTED
  18     24   2.2    430  39.0    502  45.6        -  FN-SCAR-FEED-BYTE
  20     22   2.0     22   2.0    524  47.5        -  FN-AG-CAR
  22     21   1.9     21   1.9    545  49.5        -  FN-WIRE-AG-CAR
  24     20   1.8     30   2.7    565  51.3        -  FN-SHS-LOAD-LIST-WORD
  26     19   1.7     19   1.7    584  53.0        -  FN-ARTICLE-BODY-CRLFP
  28     19   1.7     19   1.7    603  54.7        -  FN-CBOR-AT-MOSTP
  30     17   1.5     30   2.7    620  56.3        -  FN-SERVED-CONN-INJECTION
  32     17   1.5     17   1.5    637  57.8        -  FN-SHS-EXTEND
  34     15   1.4     29   2.6    652  59.2        -  FN-INJ-APPEND
  36     15   1.4     15   1.4    667  60.5        -  foreign function pthread_sigmask
  38     15   1.4     15   1.4    682  61.9        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  40     14   1.3     39   3.5    696  63.2        -  FN-WIRE-STATE-LINE-LIMIT
  42     14   1.3     29   2.6    710  64.4        -  FN-WIRE-LIST-LENGTH
  44     12   1.1     27   2.5    722  65.5        -  FN-SERVED-CONN-VERDICTS
  46     12   1.1     22   2.0    734  66.6        -  FN-SERVED-CONN-INDEX
  48     12   1.1     12   1.1    746  67.7        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  50     11   1.0     19   1.7    757  68.7        -  FN-INJ-NTH
  52     10   0.9     28   2.5    767  69.6        -  SB-KERNEL:VECTOR-TO-LIST
  54     10   0.9     23   2.1    777  70.5        -  FN-WIRE-STATE-BODY-LIMIT
  56     10   0.9     17   1.5    787  71.4        -  FN-SERVED-CONN-GROUP-INDEX
  58     10   0.9     17   1.5    797  72.3        -  FN-WIRE-STATE-PENDING-CRP
  60     10   0.9     10   0.9    807  73.2        -  LENGTH
  62     10   0.9     10   0.9    817  74.1        -  FN-ID-SUBJECT-PREIMAGE
  64      9   0.8     20   1.8    826  75.0        -  REPLACE
  66      9   0.8     16   1.5    835  75.8        -  FN-WIRE-STATE-BODY-REV
  68      9   0.8     14   1.3    844  76.6        -  FN-SERVED-CONN-OBSERVATION
  70      9   0.8      9   0.8    853  77.4        -  FN-SHS-LIST-BYTE
  72      9   0.8      9   0.8    862  78.2        -  FN-WIRE-STATE-MODE
  74      8   0.7     12   1.1    870  78.9        -  FN-WIRE-STATE-LINE-LEN
  76      8   0.7      8   0.7    878  79.7        -  FN-INJ-CDR
  78      7   0.6      8   0.7    885  80.3        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  80      6   0.5     96   8.7    891  80.9        -  FN-SHS-DIGEST-LIST
------------------------------------------------------------------------
          3   0.3                                     elsewhere
