RI-HEAP release dynamic-usage=412324032
RI-WORLD release triples=449073 events=32320 theorem-props=8145 formals-props=17836
RI-WORLD-BYTES release total=165565680
RI-PROP release GLOBAL-VALUE 58706224
RI-PROP release CONST 37330832
RI-PROP release POS-IMPLICANTS 15773712
RI-PROP release LEMMAS 14921344
RI-PROP release UNNORMALIZED-BODY 8987136
RI-PROP release TYPE-PRESCRIPTIONS 3334320
RI-PROP release UNTRANSLATED-THEOREM 3226752
RI-PROP release RUNIC-MAPPING-PAIRS 2762144
RI-CLOSURE roots-named=1156 roots-toplevel=920 reached=7374 built-in=238
RI-BOOK books/bp-node-profile-admission.lisp fns=3 thms=6 reached=3
RI-BOOK books/bp-node-profile.lisp fns=19 thms=10 reached=13
RI-BOOK books/bp-channel-ingress.lisp fns=4 thms=6 reached=4
RI-BOOK books/bp-run-class.lisp fns=17 thms=13 reached=13
RI-BOOK books/tcpcl-delivery.lisp fns=9 thms=0 reached=8
RI-BOOK books/tcpcl-host-drive.lisp fns=2 thms=0 reached=2
RI-BOOK books/tcpcl-session.lisp fns=57 thms=99 reached=52
RI-BOOK books/tcpcl-octets.lisp fns=36 thms=159 reached=34
RI-BOOK books/tcpcl-records.lisp fns=99 thms=133 reached=97
RI-BOOK books/deftransition.lisp fns=2 thms=0 reached=0
RI-BOOK books/bp-release-authority.lisp fns=22 thms=10 reached=22
RI-BOOK books/bp-transit-join.lisp fns=5 thms=4 reached=5
RI-BOOK books/peer-inbound-invariants.lisp fns=0 thms=21 reached=0
RI-BOOK books/path-update-tail.lisp fns=4 thms=1 reached=0
RI-BOOK books/bp-listener-set.lisp fns=7 thms=3 reached=5
RI-BOOK books/topic-history-local-control.lisp fns=12 thms=0 reached=12
RI-BOOK books/native-health.lisp fns=62 thms=14 reached=57
RI-BOOK books/log-sink.lisp fns=12 thms=5 reached=11
RI-BOOK books/retention-figures.lisp fns=2 thms=0 reached=2
RI-BOOK books/login-binding-live.lisp fns=21 thms=13 reached=18
RI-BOOK books/login-binding.lisp fns=7 thms=8 reached=7
RI-BOOK books/key-statements.lisp fns=34 thms=49 reached=30
RI-BOOK books/consumer-owner-local.lisp fns=11 thms=1 reached=11
RI-BOOK books/consumer-local-control.lisp fns=18 thms=5 reached=18
RI-BOOK books/consumer-poll-index.lisp fns=6 thms=11 reached=3
RI-BOOK books/peer-pull-session.lisp fns=38 thms=32 reached=34
RI-BOOK books/feed-connection-invariants.lisp fns=21 thms=25 reached=6
RI-BOOK books/feed-connection.lisp fns=44 thms=4 reached=38
RI-BOOK books/feed-auth-profile.lisp fns=8 thms=2 reached=8
