
Number of samples:   9463
Sample interval:     0.01 seconds
Total sampling time: 94.63 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=1592473 "main thread" RUNNING {1200068003}> (1918520/2097152 bytes, 5242 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2   1197  12.6   1942  20.5   1197  12.6        -  FN-CBOR-OCTET-LISTP
   4   1071  11.3   1071  11.3   2268  24.0        -  foreign function pthread_sigmask
   6   1021  10.8   2288  24.2   3289  34.8        -  FN-RECORD-STRING-OCTETS-AUX
   8    941   9.9    941   9.9   4230  44.7        -  FN-CBOR-OCTETP
  10    721   7.6   1919  20.3   4951  52.3        -  FN-RECORD-PAYLOADP
  12    608   6.4    608   6.4   5559  58.7        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
  14    391   4.1    402   4.2   5950  62.9        -  TAKE
  16    284   3.0    292   3.1   6234  65.9        -  FN-RECORD-STRING-OCTETS
  18    283   3.0    283   3.0   6517  68.9        -  SB-KERNEL:STRING=*
  20    277   2.9    277   2.9   6794  71.8        -  FN-CBOR-AT-MOSTP
  22    171   1.8    171   1.8   6965  73.6        -  NTHCDR
  24    136   1.4    136   1.4   7101  75.0        -  FN-SHS-ROUNDS
  26    129   1.4    460   4.9   7230  76.4        -  FN-CCC-FRAMED-LINK
  28    122   1.3    122   1.3   7352  77.7        -  FN-CBOR-AT-LEASTP
  30     91   1.0     94   1.0   7443  78.7        -  FN-RECORD-NONEMPTY-AT-MOSTP
  32     80   0.8     80   0.8   7523  79.5        -  GENERIC--
  34     68   0.7     68   0.7   7591  80.2        -  FN-SHS-EXTEND
  36     65   0.7    135   1.4   7656  80.9        -  FN-RECORD-OCTETS-CHARS
  38     59   0.6     59   0.6   7715  81.5        -  FN-AG-CAR
  40     58   0.6     81   0.9   7773  82.1        -  FN-SHS-LOAD-LIST-WORD
  42     57   0.6   2859  30.2   7830  82.7        -  FN-CCC-DECODE-LINK
  44     57   0.6     88   0.9   7887  83.3        -  FN-SCCB-SLICE-ACC
  46     54   0.6    276   2.9   7941  83.9        -  FN-CC-DECODE-EXACT
  48     50   0.5     66   0.7   7991  84.4        -  FN-OCTET-LISTP
  50     48   0.5    369   3.9   8039  85.0        -  FN-SHS-DIGEST-LIST
  52     47   0.5   1167  12.3   8086  85.4        -  FN-RETAIN-PIN-ID-SCANP
  54     46   0.5    122   1.3   8132  85.9        -  SB-KERNEL:VECTOR-TO-LIST
  56     36   0.4     36   0.4   8168  86.3        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  58     36   0.4     36   0.4   8204  86.7        -  FN-OCTETS$C-GET
  60     35   0.4     35   0.4   8239  87.1        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
------------------------------------------------------------------------
        636   6.7                                     elsewhere
