
Number of samples:   1461
Sample interval:     0.001 seconds
Total sampling time: 1.461 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=2354285 "main thread" RUNNING {1200068003}> (512/1048576 bytes, 2 hash buckets)
   #<THREAD tid=2354290 "fn-prof" RUNNING {1210F538B3}> (856/1048576 bytes, 6 hash buckets)
   #<THREAD tid=2354415 "fn pull feed" RUNNING {12116CC583}> (296/1048576 bytes, 2 hash buckets)
   #<THREAD tid=2354491 "fn owner client" RUNNING {1213200143}> (295096/1048576 bytes, 978 hash buckets)
   #<THREAD tid=2354416 "fn local control accept" RUNNING {12117A4463}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=2354414 "fn outbound feed" RUNNING {12116CC333}> (304/1048576 bytes, 2 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    433  29.6    446  30.5    433  29.6        -  SB-IMPL::APPEND2
   4    154  10.5    244  16.7    587  40.2        -  FN-CBOR-OCTET-LISTP
   6    110   7.5    110   7.5    697  47.7        -  FN-CBOR-OCTETP
   8     95   6.5    188  12.9    792  54.2        -  FN-RECORD-STRING-OCTETS-AUX
  10     66   4.5    192  13.1    858  58.7        -  FN-RECORD-PAYLOADP
  12     46   3.1     46   3.1    904  61.9        -  foreign function pthread_sigmask
  14     38   2.6     93   6.4    942  64.5        -  FN-STXE-BOUNDED-OCTETSP
  16     30   2.1     31   2.1    972  66.5        -  SB-IMPL::LIST-REVERSE
  18     23   1.6     23   1.6    995  68.1        -  APPEND
  20     21   1.4     42   2.9   1016  69.5        -  FN-STX-STRIP-WSP
  22     20   1.4     21   1.4   1036  70.9        -  FN-RECORD-STRING-OCTETS
  24     18   1.2     18   1.2   1054  72.1        -  FN-CBOR-AT-MOSTP
  26     17   1.2     17   1.2   1071  73.3        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
  28     16   1.1     16   1.1   1087  74.4        -  FN-SHS-ROUNDS
  30     15   1.0     15   1.0   1102  75.4        -  TAKE
  32     15   1.0     15   1.0   1117  76.5        -  FN-AG-CDR
  34     13   0.9     23   1.6   1130  77.3        -  FN-CBOR-VALUEP-BOUNDED
  36     13   0.9     15   1.0   1143  78.2        -  FN-ARTICLE-HEADER-BYTEP
  38     11   0.8     11   0.8   1154  79.0        -  NTHCDR
  40     11   0.8     11   0.8   1165  79.7        -  GENERIC--
  42     10   0.7     10   0.7   1175  80.4        -  foreign function poll
  44      9   0.6    562  38.5   1184  81.0        -  FN-ARTICLE-PARSE-LINES
  46      9   0.6     15   1.0   1193  81.7        -  FN-ARTICLE-NEXT-LINE-AUX
  48      9   0.6      9   0.6   1202  82.3        -  FN-WIRE-AG-CDR
  50      8   0.5     31   2.1   1210  82.8        -  FN-STX-B64-DECODE-EXACT
  52      8   0.5     11   0.8   1218  83.4        -  FN-SHS-LOAD-LIST-WORD
  54      8   0.5      8   0.5   1226  83.9        -  FN-CBOR-AT-LEASTP
  56      7   0.5      7   0.5   1233  84.4        -  FPR-SAVE
  58      7   0.5      7   0.5   1240  84.9        -  %DATA-VECTOR-AND-INDEX
  60      7   0.5      7   0.5   1247  85.4        -  FN-RECORD-NONEMPTY-AT-MOSTP
  62      6   0.4     29   2.0   1253  85.8        -  FN-CBOR-ENCODE-BOUNDED
  64      6   0.4     24   1.6   1259  86.2        -  FN-ARTICLE-HEADER-BYTES-P
  66      6   0.4      6   0.4   1265  86.6        -  FPR-RESTORE
  68      6   0.4      6   0.4   1271  87.0        -  FN-STX-B64-VALUE
  70      6   0.4      6   0.4   1277  87.4        -  FN-AG-CAR
  72      5   0.3    109   7.5   1282  87.7        -  FN-SCAR-FEED-COUNTED
  74      5   0.3     36   2.5   1287  88.1        -  FN-HSIG-CARRIED-RECORD-METADATAP
  76      5   0.3      5   0.3   1292  88.4        -  FN-STX-OKP
  78      5   0.3      5   0.3   1297  88.8        -  FN-SHS-EXTEND
  80      5   0.3      5   0.3   1302  89.1        -  foreign function __open64
------------------------------------------------------------------------
         14   1.0                                     elsewhere
