
Number of samples:   79
Sample interval:     0.001 seconds
Total sampling time: 0.079 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3451745 "fn owner client" RUNNING {12100DCBF3}> (26848/1048576 bytes, 79 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     15  19.0     21  26.6     15  19.0        -  FN-CBOR-OCTET-LISTP
   4      9  11.4      9  11.4     24  30.4        -  FN-CBOR-OCTETP
   6      7   8.9      7   8.9     31  39.2        -  FN-AG-CDR
   8      5   6.3     24  30.4     36  45.6        -  FN-RECORD-PAYLOADP
  10      4   5.1      4   5.1     40  50.6        -  FN-WIRE-AG-CDR
  12      3   3.8      3   3.8     43  54.4        -  FN-ARTICLE-BODY-CRLFP
  14      2   2.5      2   2.5     45  57.0        -  FN-SHS-EXTEND
  16      2   2.5      2   2.5     47  59.5        -  FN-AG-CAR
  18      1   1.3      8  10.1     48  60.8        -  FN-OWNER-PREPARE
  20      1   1.3      7   8.9     49  62.0        -  FN-WIRE-FEED-BYTE
  22      1   1.3      5   6.3     50  63.3        -  FN-SERVED-TLS-HANDSHAKINGP
  24      1   1.3      3   3.8     51  64.6        -  FN-INJ-NTH
  26      1   1.3      3   3.8     52  65.8        -  FN-WIRE-STATE-PENDING-CRP
  28      1   1.3      2   2.5     53  67.1        -  FN-OWN-REFRESH
  30      1   1.3      2   2.5     54  68.4        -  FN-WIRE-STATE-LINE-LIMIT
  32      1   1.3      2   2.5     55  69.6        -  FN-WIRE-LIST-LENGTH
  34      1   1.3      2   2.5     56  70.9        -  FN-GIDX-BUILD-ENTRIES
  36      1   1.3      1   1.3     57  72.2        -  %DATA-VECTOR-AND-INDEX
  38      1   1.3      1   1.3     58  73.4        -  FN-INJ-CDR
  40      1   1.3      1   1.3     59  74.7        -  FN-WIRE-MAKE-RESULT
  42      1   1.3      1   1.3     60  75.9        -  FN-RECORD-STRING-OCTETS-AUX
  44      1   1.3      1   1.3     61  77.2        -  FN-AUTH-SESSION-CONFIG
  46      1   1.3      1   1.3     62  78.5        -  FN-INJ-CAR
  48      1   1.3      1   1.3     63  79.7        -  FN-SHS-STR-BYTE
  50      1   1.3      1   1.3     64  81.0        -  FN-OCTETP
  52      1   1.3      1   1.3     65  82.3        -  FN-SERVED-COUNTED-RESULT
  54      1   1.3      1   1.3     66  83.5        -  FN-RECORD-NONEMPTY-AT-MOSTP
  56      1   1.3      1   1.3     67  84.8        -  REVAPPEND
  58      1   1.3      1   1.3     68  86.1        -  foreign function __open64
  60      1   1.3      1   1.3     69  87.3        -  FN-ARTICLE-HEADER-BYTEP
  62      1   1.3      1   1.3     70  88.6        -  FN-SHS-LOAD-LIST-WORD
  64      1   1.3      1   1.3     71  89.9        -  foreign function pthread_sigmask
  66      1   1.3      1   1.3     72  91.1        -  FN-ID-SUBJECT-PREIMAGE
  68      1   1.3      1   1.3     73  92.4        -  APPEND
  70      1   1.3      1   1.3     74  93.7        -  TRUE-LISTP
  72      1   1.3      1   1.3     75  94.9        -  FN-WIRE-REVERSE-OCTETS-AUX
  74      1   1.3      1   1.3     76  96.2        -  FN-RECORD-NO-DUPLICATESP
  76      1   1.3      1   1.3     77  97.5        -  FN-CBOR-AT-MOSTP
  78      1   1.3      1   1.3     78  98.7        -  FN-WIRE-AG-CAR
  80      1   1.3      1   1.3     79 100.0        -  FN-AUTH-SESSION-HANDSHAKINGP
------------------------------------------------------------------------
          0   0.0                                     elsewhere
