
Number of samples:   1075
Sample interval:     0.001 seconds
Total sampling time: 1.075 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3451909 "main thread" RUNNING {1200068003}> (264/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451912 "fn-sprof" RUNNING {120FB10723}> (112/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451910 "finalizer" RUNNING {120FA8D813}> (112/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451915 "fn owner client" RUNNING {12100DCF13}> (313544/1048576 bytes, 851 hash buckets)
   #<THREAD tid=3451913 "fn outbound feed" RUNNING {120FF73303}> (488/1048576 bytes, 3 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    160  14.9    265  24.7    160  14.9        -  FN-CBOR-OCTET-LISTP
   4    132  12.3    132  12.3    292  27.2        -  FN-CBOR-OCTETP
   6    117  10.9    338  31.4    409  38.0        -  FN-RECORD-PAYLOADP
   8     70   6.5     70   6.5    479  44.6        -  FN-AG-CDR
  10     59   5.5     59   5.5    538  50.0        -  FN-WIRE-AG-CDR
  12     26   2.4    325  30.2    564  52.5        -  FN-SCAR-FEED-BYTE
  14     25   2.3     25   2.3    589  54.8        -  FN-SHS-ROUNDS
  16     22   2.0     22   2.0    611  56.8        -  FN-WIRE-AG-CAR
  18     21   2.0     21   2.0    632  58.8        -  FN-AG-CAR
  20     19   1.8     19   1.8    651  60.6        -  FN-CBOR-AT-MOSTP
  22     18   1.7    475  44.2    669  62.2        -  FN-SCAR-FEED-COUNTED
  24     17   1.6    152  14.1    686  63.8        -  FN-WIRE-FEED-BYTE
  26     17   1.6     37   3.4    703  65.4        -  FN-WIRE-LIST-LENGTH
  28     16   1.5     27   2.5    719  66.9        -  FN-SERVED-CONN-INDEX
  30     15   1.4     28   2.6    734  68.3        -  FN-WIRE-STATE-LINE-LIMIT
  32     13   1.2     17   1.6    747  69.5        -  FN-INJ-NTH
  34     12   1.1     12   1.1    759  70.6        -  foreign function pthread_sigmask
  36     12   1.1     12   1.1    771  71.7        -  FN-ARTICLE-BODY-CRLFP
  38     11   1.0     11   1.0    782  72.7        -  FN-SHS-EXTEND
  40     10   0.9     55   5.1    792  73.7        -  FN-SHS-DIGEST-LIST
  42     10   0.9     20   1.9    802  74.6        -  FN-WIRE-STATE-BODY-LIMIT
  44     10   0.9     16   1.5    812  75.5        -  FN-SHS-LOAD-LIST-WORD
  46      8   0.7     20   1.9    820  76.3        -  FN-SERVED-CONN-GROUP-INDEX
  48      8   0.7      8   0.7    828  77.0        -  GENERIC-+
  50      8   0.7      8   0.7    836  77.8        -  GENERIC--
  52      8   0.7      8   0.7    844  78.5        -  FN-OCTETS$C-GET
  54      7   0.7     17   1.6    851  79.2        -  FN-SERVED-CONN-VERDICTS
  56      7   0.7      9   0.8    858  79.8        -  FN-WIRE-STATE-LINE-LEN
  58      7   0.7      7   0.7    865  80.5        -  FN-WIRE-MAKE-STATE
  60      6   0.6     11   1.0    871  81.0        -  FN-SERVED-CONN-OBSERVATION
  62      6   0.6      7   0.7    877  81.6        -  FN-SHS-LIST-BYTE
  64      6   0.6      7   0.7    883  82.1        -  FN-SERVED-COUNTED-RESULT
  66      6   0.6      6   0.6    889  82.7        -  LENGTH
  68      6   0.6      6   0.6    895  83.3        -  FN-OCTETP
  70      5   0.5      9   0.8    900  83.7        -  FN-OCTET-LISTP
  72      5   0.5      7   0.7    905  84.2        -  FN-SHS-LOAD-STR-WORD
  74      5   0.5      5   0.5    910  84.7        -  FN-WIRE-MAKE-RESULT
  76      5   0.5      5   0.5    915  85.1        -  FN-WIRE-STATE-MODE
  78      5   0.5      5   0.5    920  85.6        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  80      5   0.5      5   0.5    925  86.0        -  foreign function __open64
------------------------------------------------------------------------
          3   0.3                                     elsewhere
