
Number of samples:   1074
Sample interval:     0.001 seconds
Total sampling time: 1.074 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3452139 "fn-sprof" RUNNING {120FB10723}> (264/1048576 bytes, 2 hash buckets)
   #<THREAD tid=3452145 "fn owner client" RUNNING {12100DCF13}> (307056/1048576 bytes, 848 hash buckets)
   #<THREAD tid=3452143 "fn outbound feed" RUNNING {120FF73303}> (272/1048576 bytes, 2 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    163  15.2    279  26.0    163  15.2        -  FN-CBOR-OCTET-LISTP
   4    131  12.2    131  12.2    294  27.4        -  FN-CBOR-OCTETP
   6    112  10.4    335  31.2    406  37.8        -  FN-RECORD-PAYLOADP
   8     59   5.5     59   5.5    465  43.3        -  FN-AG-CDR
  10     53   4.9     53   4.9    518  48.2        -  FN-WIRE-AG-CDR
  12     37   3.4     37   3.4    555  51.7        -  FN-AG-CAR
  14     30   2.8     30   2.8    585  54.5        -  FN-WIRE-AG-CAR
  16     27   2.5    471  43.9    612  57.0        -  FN-SCAR-FEED-COUNTED
  18     21   2.0     46   4.3    633  58.9        -  FN-WIRE-LIST-LENGTH
  20     20   1.9    297  27.7    653  60.8        -  FN-SCAR-FEED-BYTE
  22     17   1.6     17   1.6    670  62.4        -  FN-SHS-ROUNDS
  24     15   1.4     22   2.0    685  63.8        -  FN-INJ-NTH
  26     15   1.4     15   1.4    700  65.2        -  FN-SHS-EXTEND
  28     14   1.3     28   2.6    714  66.5        -  FN-INJ-APPEND
  30     12   1.1     22   2.0    726  67.6        -  FN-WIRE-STATE-LINE-LIMIT
  32     12   1.1     12   1.1    738  68.7        -  foreign function pthread_sigmask
  34     11   1.0    138  12.8    749  69.7        -  FN-WIRE-FEED-BYTE
  36     11   1.0     20   1.9    760  70.8        -  FN-SHS-LOAD-LIST-WORD
  38     11   1.0     11   1.0    771  71.8        -  FN-ARTICLE-BODY-CRLFP
  40     11   1.0     11   1.0    782  72.8        -  GENERIC-+
  42      9   0.8     25   2.3    791  73.6        -  FN-SERVED-CONN-GROUP-INDEX
  44      9   0.8     10   0.9    800  74.5        -  FN-SHS-LIST-BYTE
  46      8   0.7     19   1.8    808  75.2        -  FN-SERVED-CONN-INDEX
  48      8   0.7      8   0.7    816  76.0        -  FN-WIRE-MAKE-STATE
  50      7   0.7      7   0.7    823  76.6        -  FN-CBOR-AT-MOSTP
  52      6   0.6     20   1.9    829  77.2        -  FN-WIRE-STATE-BODY-LIMIT
  54      6   0.6     15   1.4    835  77.7        -  FN-WIRE-STATE-BODY-SIZE
  56      6   0.6     10   0.9    841  78.3        -  FN-OCT-SLICE-CHARS-DOWN
  58      6   0.6      6   0.6    847  78.9        -  FN-OCTETP
  60      6   0.6      6   0.6    853  79.4        -  LENGTH
  62      5   0.5     15   1.4    858  79.9        -  FN-INJ-DECIDE
  64      5   0.5     14   1.3    863  80.4        -  ACL2_*1*_ACL2::FN-ID-SUBJECT-OF-PAYLOAD
  66      5   0.5     12   1.1    868  80.8        -  FN-SERVED-CONN-VERDICTS
  68      5   0.5     10   0.9    873  81.3        -  FN-OCTET-LISTP
  70      5   0.5      9   0.8    878  81.8        -  FN-WIRE-STATE-PENDING-CRP
  72      5   0.5      5   0.5    883  82.2        -  FN-RCS-ENCODED-SIZE
  74      5   0.5      5   0.5    888  82.7        -  FN-AG-REV-ONTO
  76      5   0.5      5   0.5    893  83.1        -  FN-INJ-CDR
  78      5   0.5      5   0.5    898  83.6        -  FN-ID-SUBJECT-PREIMAGE
  80      5   0.5      5   0.5    903  84.1        -  FN-WIRE-REVERSE-OCTETS-AUX
------------------------------------------------------------------------
          2   0.2                                     elsewhere
