
Number of samples:   1112
Sample interval:     0.001 seconds
Total sampling time: 1.112 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3522273 "fn-sprof" RUNNING {120FB182E3}> (504/1048576 bytes, 4 hash buckets)
   #<THREAD tid=3522276 "fn owner client" RUNNING {12100E4F13}> (318440/1048576 bytes, 873 hash buckets)
   #<THREAD tid=3522275 "fn local control accept" RUNNING {1210043403}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3522274 "fn outbound feed" RUNNING {120FF7B303}> (176/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    193  17.4    298  26.8    193  17.4        -  FN-CBOR-OCTET-LISTP
   4    131  11.8    131  11.8    324  29.1        -  FN-CBOR-OCTETP
   6    109   9.8    351  31.6    433  38.9        -  FN-RECORD-PAYLOADP
   8     79   7.1     79   7.1    512  46.0        -  FN-AG-CDR
  10     59   5.3     59   5.3    571  51.3        -  FN-WIRE-AG-CDR
  12     34   3.1     34   3.1    605  54.4        -  FN-AG-CAR
  14     26   2.3     26   2.3    631  56.7        -  FN-SHS-ROUNDS
  16     22   2.0    485  43.6    653  58.7        -  FN-SCAR-FEED-COUNTED
  18     20   1.8     20   1.8    673  60.5        -  FN-WIRE-AG-CAR
  20     18   1.6    309  27.8    691  62.1        -  FN-SCAR-FEED-BYTE
  22     16   1.4     23   2.1    707  63.6        -  FN-INJ-NTH
  24     15   1.3    138  12.4    722  64.9        -  FN-WIRE-FEED-BYTE
  26     14   1.3     14   1.3    736  66.2        -  FN-ARTICLE-BODY-CRLFP
  28     13   1.2     33   3.0    749  67.4        -  FN-WIRE-LIST-LENGTH
  30     13   1.2     27   2.4    762  68.5        -  FN-INJ-APPEND
  32     12   1.1     29   2.6    774  69.6        -  FN-WIRE-STATE-LINE-LIMIT
  34     12   1.1     28   2.5    786  70.7        -  FN-SERVED-CONN-GROUP-INDEX
  36     11   1.0     29   2.6    797  71.7        -  FN-WIRE-STATE-BODY-LIMIT
  38      9   0.8      9   0.8    806  72.5        -  FN-CBOR-AT-MOSTP
  40      8   0.7     53   4.8    814  73.2        -  FN-SHS-DIGEST-LIST
  42      8   0.7     15   1.3    822  73.9        -  FN-SHS-LOAD-LIST-WORD
  44      8   0.7     14   1.3    830  74.6        -  FN-WIRE-STATE-BODY-SIZE
  46      8   0.7      8   0.7    838  75.4        -  GENERIC-+
  48      8   0.7      8   0.7    846  76.1        -  LENGTH
  50      7   0.6     10   0.9    853  76.7        -  FN-OCTET-LISTP
  52      7   0.6     10   0.9    860  77.3        -  FN-SERVED-CONN-OBSERVATION
  54      7   0.6      7   0.6    867  78.0        -  FN-SHS-LIST-BYTE
  56      7   0.6      7   0.6    874  78.6        -  FN-ID-SUBJECT-PREIMAGE
  58      6   0.5     17   1.5    880  79.1        -  FN-SERVED-CONN-INDEX
  60      6   0.5      8   0.7    886  79.7        -  FN-WIRE-STATE-PENDING-CRP
  62      6   0.5      6   0.5    892  80.2        -  FN-INJ-CDR
  64      6   0.5      6   0.5    898  80.8        -  FN-SHS-EXTEND
  66      6   0.5      6   0.5    904  81.3        -  FN-WIRE-STATE-LINE-LEN
  68      6   0.5      6   0.5    910  81.8        -  foreign function poll
  70      5   0.4     10   0.9    915  82.3        -  FN-SERVED-CONN-CONFIG
  72      5   0.4      6   0.5    920  82.7        -  FN-OCTETS$C-APPEND-OCTET
  74      5   0.4      6   0.5    925  83.2        -  FN-WIRE-MAKE-STATE
  76      5   0.4      5   0.4    930  83.6        -  foreign function pthread_sigmask
  78      5   0.4      5   0.4    935  84.1        -  GENERIC--
  80      4   0.4     71   6.4    939  84.4        -  FN-OWNER-PREPARE
------------------------------------------------------------------------
          0   0.0                                     elsewhere
