
Number of samples:   1213
Sample interval:     0.001 seconds
Total sampling time: 1.213 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3506694 "fn-sprof" RUNNING {120FA58723}> (400/1048576 bytes, 3 hash buckets)
   #<THREAD tid=3506693 "finalizer" RUNNING {120F9D57F3}> (120/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3506697 "fn owner client" RUNNING {1210024F13}> (228824/1048576 bytes, 657 hash buckets)
   #<THREAD tid=3506696 "fn local control accept" RUNNING {120FF83403}> (136/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    217  17.9    217  17.9    217  17.9        -  FN-AG-CAR
   4     58   4.8     95   7.8    275  22.7        -  FN-GIDX-PUT
   6     55   4.5    218  18.0    330  27.2        -  FN-GIDX-BUILD-ENTRIES
   8     50   4.1     50   4.1    380  31.3        -  SB-IMPL::APPEND2
  10     43   3.5     43   3.5    423  34.9        -  FN-AG-CDR
  12     42   3.5     73   6.0    465  38.3        -  FN-CBOR-OCTET-LISTP
  14     42   3.5     42   3.5    507  41.8        -  SB-KERNEL:STRING=*
  16     39   3.2     39   3.2    546  45.0        -  (LABELS SB-IMPL::EQUAL-NOT-INLINE :IN EQUAL)
  18     37   3.1    100   8.2    583  48.1        -  FN-RETAIN-OBLIGATION-IDS
  20     35   2.9     91   7.5    618  50.9        -  FN-RECORD-PAYLOADP
  22     33   2.7    354  29.2    651  53.7        -  FN-INDEX-BUILD
  24     32   2.6     32   2.6    683  56.3        -  FN-CBOR-OCTETP
  26     30   2.5    206  17.0    713  58.8        -  FN-INDEX-MEMBERSHIP-ENTRIES
  28     27   2.2     57   4.7    740  61.0        -  FN-CCAR-SEEK
  30     23   1.9     23   1.9    763  62.9        -  foreign function pthread_sigmask
  32     13   1.1     13   1.1    776  64.0        -  FN-SHS-ROUNDS
  34     11   0.9     11   0.9    787  64.9        -  foreign function __open64
  36     10   0.8     82   6.8    797  65.7        -  FN-SCAR-FEED-BYTE
  38     10   0.8     15   1.2    807  66.5        -  FN-ARTICLE-MEMBERSHIPS
  40     10   0.8     11   0.9    817  67.4        -  FN-INDEX-ENTRY
  42     10   0.8     10   0.8    827  68.2        -  FN-WIRE-AG-CDR
  44      9   0.7    130  10.7    836  68.9        -  FN-SCAR-FEED-COUNTED
  46      9   0.7     38   3.1    845  69.7        -  FN-INDEX-ARTICLE-ENTRIES
  48      9   0.7      9   0.7    854  70.4        -  FN-ARTICLE-BODY-CRLFP
  50      8   0.7     19   1.6    862  71.1        -  FN-OWN-REFRESH
  52      8   0.7      8   0.7    870  71.7        -  foreign function __write
  54      8   0.7      8   0.7    878  72.4        -  FN-OWN-COMPLETION-CONSUMEDP
  56      8   0.7      8   0.7    886  73.0        -  EQUAL
  58      6   0.5      7   0.6    892  73.5        -  FN-OWN-TAKE-SUBMISSION
  60      6   0.5      6   0.5    898  74.0        -  FN-AG-REV-ONTO
  62      6   0.5      6   0.5    904  74.5        -  FN-SHS-EXTEND
  64      6   0.5      6   0.5    910  75.0        -  FN-ACAR-NNTP-PROJECTIONP
  66      5   0.4     53   4.4    915  75.4        -  FN-FIND-ARTICLE
  68      5   0.4     32   2.6    920  75.8        -  FN-WIRE-FEED-BYTE
  70      5   0.4      9   0.7    925  76.3        -  FN-INJ-APPEND
  72      5   0.4      5   0.4    930  76.7        -  FN-ARTICLE-MSGID
  74      5   0.4      5   0.4    935  77.1        -  GENERIC-+
  76      4   0.3      8   0.7    939  77.4        -  SB-KERNEL:VECTOR-TO-LIST
  78      4   0.3      7   0.6    943  77.7        -  FN-SERVED-CONN-INDEX
  80      4   0.3      6   0.5    947  78.1        -  FN-WIRE-MAKE-STATE
------------------------------------------------------------------------
         85   7.0                                     elsewhere
