
Number of samples:   89
Sample interval:     0.001 seconds
Total sampling time: 0.089 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3451661 "fn owner client" RUNNING {1210024BF3}> (27872/1048576 bytes, 85 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     14  15.7     14  15.7     14  15.7        -  FN-CBOR-OCTETP
   4     10  11.2     24  27.0     24  27.0        -  FN-CBOR-OCTET-LISTP
   6      7   7.9     25  28.1     31  34.8        -  FN-RECORD-PAYLOADP
   8      4   4.5      4   4.5     35  39.3        -  FN-WIRE-AG-CDR
  10      4   4.5      4   4.5     39  43.8        -  FN-AG-CDR
  12      3   3.4     16  18.0     42  47.2        -  FN-WIRE-FEED-BYTE
  14      3   3.4      3   3.4     45  50.6        -  FN-SHS-ROUNDS
  16      2   2.2     25  28.1     47  52.8        -  FN-SCAR-FEED-BYTE
  18      2   2.2      4   4.5     49  55.1        -  FN-WIRE-STATE-BODY-LIMIT
  20      2   2.2      2   2.2     51  57.3        -  FLOOR
  22      2   2.2      2   2.2     53  59.6        -  foreign function pthread_sigmask
  24      2   2.2      2   2.2     55  61.8        -  LENGTH
  26      2   2.2      2   2.2     57  64.0        -  FN-WIRE-MAKE-STATE
  28      2   2.2      2   2.2     59  66.3        -  FN-OCTETP
  30      1   1.1     29  32.6     60  67.4        -  FN-SCAR-FEED-COUNTED
  32      1   1.1      9  10.1     61  68.5        -  FN-CCAR-SEEK
  34      1   1.1      2   2.2     62  69.7        -  FN-SERVED-CONN-VERDICTS
  36      1   1.1      2   2.2     63  70.8        -  FN-RECORD-ASCII-OCTETP
  38      1   1.1      2   2.2     64  71.9        -  FN-RECORD-ASCII-OCTET-LISTP
  40      1   1.1      1   1.1     65  73.0        -  FN-WIRE-STATE-PENDING-CRP
  42      1   1.1      1   1.1     66  74.2        -  GENERIC--
  44      1   1.1      1   1.1     67  75.3        -  FN-ARTICLE-LINE-VALUE
  46      1   1.1      1   1.1     68  76.4        -  FN-WIRE-AG-CAR
  48      1   1.1      1   1.1     69  77.5        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  50      1   1.1      1   1.1     70  78.7        -  FN-WIRE-OCTETP
  52      1   1.1      1   1.1     71  79.8        -  foreign function rename
  54      1   1.1      1   1.1     72  80.9        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  56      1   1.1      1   1.1     73  82.0        -  FN-INJ-CDR
  58      1   1.1      1   1.1     74  83.1        -  FN-WIRE-STATE-LINE-LEN
  60      1   1.1      1   1.1     75  84.3        -  FN-MAKE-STATE
  62      1   1.1      1   1.1     76  85.4        -  FN-OWN-NEXT-ID
  64      1   1.1      1   1.1     77  86.5        -  SB-KERNEL::FLOOR1
  66      1   1.1      1   1.1     78  87.6        -  FN-CBOR-ENCODE-BOUNDED
  68      1   1.1      1   1.1     79  88.8        -  FN-SHS-EXTEND
  70      1   1.1      1   1.1     80  89.9        -  foreign function __open64
  72      1   1.1      1   1.1     81  91.0        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  74      1   1.1      1   1.1     82  92.1        -  FN-SERVED-MAKE-RESULT
  76      1   1.1      1   1.1     83  93.3        -  FN-OWN-CONN-FRONTIER
  78      1   1.1      1   1.1     84  94.4        -  FN-ID-SUBJECT-PREIMAGE
  80      1   1.1      1   1.1     85  95.5        -  FN-SERVED-CONN-CONFIG
------------------------------------------------------------------------
          0   0.0                                     elsewhere
