
Number of samples:   90
Sample interval:     0.001 seconds
Total sampling time: 0.09 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3451994 "fn-sprof" RUNNING {120FA601A3}> (152/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451997 "fn owner client" RUNNING {121002CBF3}> (28120/1048576 bytes, 85 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     14  15.6     14  15.6     14  15.6        -  FN-CBOR-OCTETP
   4      9  10.0     22  24.4     23  25.6        -  FN-RECORD-PAYLOADP
   6      7   7.8     19  21.1     30  33.3        -  FN-CBOR-OCTET-LISTP
   8      4   4.4      4   4.4     34  37.8        -  FN-WIRE-AG-CDR
  10      3   3.3      3   3.3     37  41.1        -  FN-AG-CAR
  12      2   2.2     19  21.1     39  43.3        -  FN-SCAR-FEED-BYTE
  14      2   2.2      4   4.4     41  45.6        -  FN-WIRE-LIST-LENGTH
  16      2   2.2      3   3.3     43  47.8        -  FN-SHS-LOAD-LIST-WORD
  18      2   2.2      2   2.2     45  50.0        -  FN-AG-CDR
  20      2   2.2      2   2.2     47  52.2        -  foreign function __open64
  22      2   2.2      2   2.2     49  54.4        -  foreign function pthread_sigmask
  24      2   2.2      2   2.2     51  56.7        -  LENGTH
  26      2   2.2      2   2.2     53  58.9        -  FN-ARTICLE-BODY-CRLFP
  28      2   2.2      2   2.2     55  61.1        -  foreign function __write
  30      2   2.2      2   2.2     57  63.3        -  FN-WIRE-MAKE-STATE
  32      1   1.1     32  35.6     58  64.4        -  FN-SCAR-FEED-COUNTED
  34      1   1.1      7   7.8     59  65.6        -  FN-WIRE-FEED-BYTE
  36      1   1.1      5   5.6     60  66.7        -  FN-SHS-DIGEST-LIST
  38      1   1.1      3   3.3     61  67.8        -  FN-WIRE-STATE-LINE-LIMIT
  40      1   1.1      2   2.2     62  68.9        -  FN-SCAR-FINISH-READ
  42      1   1.1      2   2.2     63  70.0        -  FN-RECORD-OCTETS-CHARS
  44      1   1.1      2   2.2     64  71.1        -  FN-RCON-METADATA-BYTES-P
  46      1   1.1      2   2.2     65  72.2        -  FN-INJ-APPEND
  48      1   1.1      1   1.1     66  73.3        -  PATHNAME-TYPE
  50      1   1.1      1   1.1     67  74.4        -  FN-SERVED-CONN-INDEX
  52      1   1.1      1   1.1     68  75.6        -  FN-CBOR-AG-CDR
  54      1   1.1      1   1.1     69  76.7        -  SB-KERNEL:VECTOR-TO-LIST
  56      1   1.1      1   1.1     70  77.8        -  FN-PROV-STRUCTURED-OCTETS
  58      1   1.1      1   1.1     71  78.9        -  FN-SERVED-COUNTED-MAKE
  60      1   1.1      1   1.1     72  80.0        -  FN-SHS-LIST-BYTE
  62      1   1.1      1   1.1     73  81.1        -  GENERIC-+
  64      1   1.1      1   1.1     74  82.2        -  GENERIC--
  66      1   1.1      1   1.1     75  83.3        -  FN-WIRE-RESULT-EVENTS
  68      1   1.1      1   1.1     76  84.4        -  FN-CBOR-AT-MOSTP
  70      1   1.1      1   1.1     77  85.6        -  REPLACE
  72      1   1.1      1   1.1     78  86.7        -  FN-SF-BARRIERS
  74      1   1.1      1   1.1     79  87.8        -  FN-FRAME-PROTECTED
  76      1   1.1      1   1.1     80  88.9        -  FN-SHS-ROUNDS
  78      1   1.1      1   1.1     81  90.0        -  SB-KERNEL:TWO-ARG-<=
  80      1   1.1      1   1.1     82  91.1        -  FN-SERVED-CONN-WIRE
------------------------------------------------------------------------
          0   0.0                                     elsewhere
