
Number of samples:   1126
Sample interval:     0.001 seconds
Total sampling time: 1.1260000000000001 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3451594 "main thread" RUNNING {1200068003}> (264/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451596 "fn-sprof" RUNNING {120FA58723}> (144/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451595 "finalizer" RUNNING {120F9D57F3}> (128/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3451599 "fn owner client" RUNNING {1210024BF3}> (318992/1048576 bytes, 894 hash buckets)
   #<THREAD tid=3451597 "fn outbound feed" RUNNING {120FEBB053}> (144/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    176  15.6    301  26.7    176  15.6        -  FN-CBOR-OCTET-LISTP
   4    149  13.2    149  13.2    325  28.9        -  FN-CBOR-OCTETP
   6    111   9.9    344  30.6    436  38.7        -  FN-RECORD-PAYLOADP
   8     65   5.8     65   5.8    501  44.5        -  FN-AG-CDR
  10     61   5.4     61   5.4    562  49.9        -  FN-WIRE-AG-CDR
  12     26   2.3     26   2.3    588  52.2        -  FN-SHS-ROUNDS
  14     24   2.1    299  26.6    612  54.4        -  FN-SCAR-FEED-BYTE
  16     22   2.0    465  41.3    634  56.3        -  FN-SCAR-FEED-COUNTED
  18     20   1.8     20   1.8    654  58.1        -  FN-AG-CAR
  20     16   1.4     16   1.4    670  59.5        -  FN-ARTICLE-BODY-CRLFP
  22     15   1.3     41   3.6    685  60.8        -  SB-KERNEL:VECTOR-TO-LIST
  24     15   1.3     29   2.6    700  62.2        -  FN-SERVED-CONN-GROUP-INDEX
  26     15   1.3     15   1.3    715  63.5        -  FN-SHS-EXTEND
  28     14   1.2     23   2.0    729  64.7        -  FN-SERVED-CONN-VERDICTS
  30     14   1.2     14   1.2    743  66.0        -  FN-CBOR-AT-MOSTP
  32     14   1.2     14   1.2    757  67.2        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  34     13   1.2     27   2.4    770  68.4        -  FN-INJ-APPEND
  36     12   1.1     12   1.1    782  69.4        -  foreign function pthread_sigmask
  38     11   1.0    130  11.5    793  70.4        -  FN-WIRE-FEED-BYTE
  40     11   1.0     31   2.8    804  71.4        -  FN-WIRE-STATE-LINE-LIMIT
  42     11   1.0     20   1.8    815  72.4        -  FN-WIRE-STATE-BODY-SIZE
  44     11   1.0     17   1.5    826  73.4        -  REPLACE
  46     11   1.0     11   1.0    837  74.3        -  FN-INJ-CDR
  48     10   0.9     21   1.9    847  75.2        -  FN-WIRE-LIST-LENGTH
  50     10   0.9     17   1.5    857  76.1        -  FN-SHS-LOAD-LIST-WORD
  52      9   0.8     19   1.7    866  76.9        -  FN-SERVED-CONN-INDEX
  54      9   0.8     13   1.2    875  77.7        -  FN-WIRE-STATE-PENDING-CRP
  56      8   0.7     14   1.2    883  78.4        -  FN-SERVED-CONN-INJECTION
  58      8   0.7      8   0.7    891  79.1        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  60      8   0.7      8   0.7    899  79.8        -  FN-WIRE-AG-CAR
  62      7   0.6     18   1.6    906  80.5        -  FN-INJ-NTH
  64      7   0.6      7   0.6    913  81.1        -  FN-SHS-LIST-BYTE
  66      7   0.6      7   0.6    920  81.7        -  FN-SERVED-RESULT-CONN
  68      7   0.6      7   0.6    927  82.3        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  70      6   0.5      9   0.8    933  82.9        -  FN-SERVED-RESULT-EFFECTS
  72      6   0.5      6   0.5    939  83.4        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  74      6   0.5      6   0.5    945  83.9        -  GENERIC--
  76      5   0.4     13   1.2    950  84.4        -  FN-WIRE-STATE-BODY-LIMIT
  78      5   0.4     10   0.9    955  84.8        -  FN-SERVED-CONN-OBSERVATION
  80      5   0.4      8   0.7    960  85.3        -  FN-SERVED-COUNTED-RESULT
------------------------------------------------------------------------
          3   0.3                                     elsewhere
