
Number of samples:   1141
Sample interval:     0.001 seconds
Total sampling time: 1.141 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3451772 "fn-sprof" RUNNING {120FA58723}> (456/1048576 bytes, 3 hash buckets)
   #<THREAD tid=3451775 "fn owner client" RUNNING {1210024BF3}> (323520/1048576 bytes, 905 hash buckets)
   #<THREAD tid=3451773 "fn outbound feed" RUNNING {120FEBB053}> (304/1048576 bytes, 2 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    171  15.0    289  25.3    171  15.0        -  FN-CBOR-OCTET-LISTP
   4    140  12.3    140  12.3    311  27.3        -  FN-CBOR-OCTETP
   6    117  10.3    348  30.5    428  37.5        -  FN-RECORD-PAYLOADP
   8     74   6.5     74   6.5    502  44.0        -  FN-WIRE-AG-CDR
  10     58   5.1     58   5.1    560  49.1        -  FN-AG-CDR
  12     32   2.8     32   2.8    592  51.9        -  FN-SHS-ROUNDS
  14     30   2.6    480  42.1    622  54.5        -  FN-SCAR-FEED-COUNTED
  16     22   1.9     22   1.9    644  56.4        -  FN-CBOR-AT-MOSTP
  18     19   1.7    160  14.0    663  58.1        -  FN-WIRE-FEED-BYTE
  20     18   1.6    310  27.2    681  59.7        -  FN-SCAR-FEED-BYTE
  22     16   1.4     21   1.8    697  61.1        -  FN-INJ-NTH
  24     16   1.4     16   1.4    713  62.5        -  FN-ARTICLE-BODY-CRLFP
  26     14   1.2     14   1.2    727  63.7        -  foreign function pthread_sigmask
  28     14   1.2     14   1.2    741  64.9        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  30     13   1.1     25   2.2    754  66.1        -  FN-INJ-APPEND
  32     12   1.1     32   2.8    766  67.1        -  SB-KERNEL:VECTOR-TO-LIST
  34     12   1.1     31   2.7    778  68.2        -  FN-WIRE-STATE-LINE-LIMIT
  36     12   1.1     14   1.2    790  69.2        -  FN-SHS-LOAD-LIST-WORD
  38     12   1.1     12   1.1    802  70.3        -  FN-SHS-EXTEND
  40     12   1.1     12   1.1    814  71.3        -  FN-AG-CAR
  42     11   1.0     27   2.4    825  72.3        -  FN-WIRE-LIST-LENGTH
  44     11   1.0     11   1.0    836  73.3        -  FN-WIRE-AG-CAR
  46     10   0.9     22   1.9    846  74.1        -  FN-WIRE-STATE-BODY-LIMIT
  48     10   0.9     13   1.1    856  75.0        -  FN-SERVED-CONN-INJECTION
  50     10   0.9     10   0.9    866  75.9        -  (SB-VM::OPTIMIZED-DATA-VECTOR-SET (UNSIGNED-BYTE 8))
  52      8   0.7     74   6.5    874  76.6        -  FN-SHS-DIGEST-LIST
  54      8   0.7     27   2.4    882  77.3        -  FN-SERVED-CONN-INDEX
  56      8   0.7     18   1.6    890  78.0        -  REPLACE
  58      8   0.7     13   1.1    898  78.7        -  FN-WIRE-STATE-PENDING-CRP
  60      8   0.7     10   0.9    906  79.4        -  FN-WIRE-STATE-LINE-LEN
  62      8   0.7      8   0.7    914  80.1        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  64      7   0.6     17   1.5    921  80.7        -  FN-WIRE-STATE-BODY-SIZE
  66      7   0.6     15   1.3    928  81.3        -  ACL2_*1*_ACL2::FN-ID-SUBJECT-OF-PAYLOAD
  68      7   0.6     14   1.2    935  81.9        -  FN-SERVED-CONN-VERDICTS
  70      7   0.6      7   0.6    942  82.6        -  GENERIC-+
  72      7   0.6      7   0.6    949  83.2        -  FN-INJ-CDR
  74      6   0.5     15   1.3    955  83.7        -  FN-SERVED-CONN-GROUP-INDEX
  76      6   0.5      9   0.8    961  84.2        -  FN-OCTET-LISTP
  78      6   0.5      9   0.8    967  84.8        -  FN-CBOR-VALUEP-BOUNDED
  80      6   0.5      7   0.6    973  85.3        -  FN-SERVED-COUNTED-RESULT
------------------------------------------------------------------------
          5   0.4                                     elsewhere
