
Number of samples:   1137
Sample interval:     0.001 seconds
Total sampling time: 1.137 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3452040 "fn-sprof" RUNNING {120FA58723}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3452043 "fn owner client" RUNNING {1210024BF3}> (321592/1048576 bytes, 892 hash buckets)
   #<THREAD tid=3452042 "fn local control accept" RUNNING {120FF83093}> (136/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3452041 "fn outbound feed" RUNNING {120FEBB053}> (144/1048576 bytes, 1 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2    163  14.3    291  25.6    163  14.3        -  FN-CBOR-OCTET-LISTP
   4    144  12.7    144  12.7    307  27.0        -  FN-CBOR-OCTETP
   6    116  10.2    344  30.3    423  37.2        -  FN-RECORD-PAYLOADP
   8     71   6.2     71   6.2    494  43.4        -  FN-AG-CDR
  10     71   6.2     71   6.2    565  49.7        -  FN-WIRE-AG-CDR
  12     29   2.6     29   2.6    594  52.2        -  FN-SHS-ROUNDS
  14     21   1.8    475  41.8    615  54.1        -  FN-SCAR-FEED-COUNTED
  16     21   1.8    314  27.6    636  55.9        -  FN-SCAR-FEED-BYTE
  18     21   1.8     33   2.9    657  57.8        -  FN-WIRE-STATE-LINE-LIMIT
  20     18   1.6     18   1.6    675  59.4        -  FN-CBOR-AT-MOSTP
  22     18   1.6     18   1.6    693  60.9        -  FN-AG-CAR
  24     17   1.5     35   3.1    710  62.4        -  SB-KERNEL:VECTOR-TO-LIST
  26     17   1.5     35   3.1    727  63.9        -  FN-WIRE-LIST-LENGTH
  28     16   1.4     31   2.7    743  65.3        -  FN-INJ-APPEND
  30     15   1.3     15   1.3    758  66.7        -  foreign function pthread_sigmask
  32     12   1.1    147  12.9    770  67.7        -  FN-WIRE-FEED-BYTE
  34     12   1.1     13   1.1    782  68.8        -  REPLACE
  36     11   1.0     19   1.7    793  69.7        -  FN-INJ-NTH
  38     11   1.0     11   1.0    804  70.7        -  FN-SHS-EXTEND
  40     11   1.0     11   1.0    815  71.7        -  SB-KERNEL:VECTOR-HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
  42     11   1.0     11   1.0    826  72.6        -  (SB-VM::OPTIMIZED-DATA-VECTOR-REF (UNSIGNED-BYTE 8))
  44     10   0.9     10   0.9    836  73.5        -  FN-ARTICLE-BODY-CRLFP
  46      9   0.8     27   2.4    845  74.3        -  FN-SERVED-CONN-INDEX
  48      9   0.8     10   0.9    854  75.1        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  50      9   0.8      9   0.8    863  75.9        -  LENGTH
  52      9   0.8      9   0.8    872  76.7        -  FN-INJ-CDR
  54      9   0.8      9   0.8    881  77.5        -  FN-OCTETP
  56      8   0.7     21   1.8    889  78.2        -  FN-WIRE-STATE-BODY-LIMIT
  58      8   0.7     16   1.4    897  78.9        -  FN-SHS-LOAD-LIST-WORD
  60      8   0.7      8   0.7    905  79.6        -  FN-WIRE-MAKE-STATE
  62      8   0.7      8   0.7    913  80.3        -  FN-SHS-LIST-BYTE
  64      7   0.6     16   1.4    920  80.9        -  FN-SERVED-CONN-OBSERVATION
  66      7   0.6     13   1.1    927  81.5        -  FN-WIRE-STATE-LINE-LEN
  68      7   0.6     11   1.0    934  82.1        -  FN-SERVED-CONN-VERDICTS
  70      7   0.6      7   0.6    941  82.8        -  FN-WIRE-AG-CAR
  72      7   0.6      7   0.6    948  83.4        -  GENERIC--
  74      6   0.5     18   1.6    954  83.9        -  FN-SERVED-CONN-GROUP-INDEX
  76      6   0.5      6   0.5    960  84.4        -  FN-ID-SUBJECT-PREIMAGE
  78      6   0.5      6   0.5    966  85.0        -  GENERIC-+
  80      5   0.4     11   1.0    971  85.4        -  FN-WIRE-STATE-BODY-SIZE
------------------------------------------------------------------------
          5   0.4                                     elsewhere
