
Number of samples:   752
Sample interval:     0.001 seconds
Total sampling time: 0.752 seconds
Graph cycles:        0
Sampled threads:
   #<THREAD tid=3522309 "fn-sprof" RUNNING {120FB381A3}> (144/1048576 bytes, 1 hash buckets)
   #<THREAD tid=3522308 "finalizer" RUNNING {120FAAD813}> (224/1048576 bytes, 2 hash buckets)
   #<THREAD tid=3522312 "fn owner client" RUNNING {1210104BF3}> (249664/1048576 bytes, 629 hash buckets)
   #<THREAD tid=3522310 "fn outbound feed" RUNNING {120FF9B053}> (368/1048576 bytes, 3 hash buckets)

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   2     67   8.9     67   8.9     67   8.9        -  FN-AG-CDR
   4     47   6.3     47   6.3    114  15.2        -  FN-WIRE-AG-CDR
   6     41   5.5     41   5.5    155  20.6        -  FN-CBOR-OCTETP
   8     35   4.7     68   9.0    190  25.3        -  FN-CBOR-OCTET-LISTP
  10     30   4.0     30   4.0    220  29.3        -  FN-SHS-ROUNDS
  12     28   3.7     28   3.7    248  33.0        -  FN-AG-CAR
  14     26   3.5    474  63.0    274  36.4        -  FN-SCAR-FEED-COUNTED
  16     18   2.4     18   2.4    292  38.8        -  FN-CBOR-AT-MOSTP
  18     17   2.3     39   5.2    309  41.1        -  FN-WIRE-LIST-LENGTH
  20     17   2.3     17   2.3    326  43.4        -  FN-WIRE-AG-CAR
  22     16   2.1    284  37.8    342  45.5        -  FN-SCAR-FEED-BYTE
  24     16   2.1     16   2.1    358  47.6        -  FN-ARTICLE-BODY-CRLFP
  26     15   2.0    117  15.6    373  49.6        -  FN-WIRE-FEED-BYTE
  28     15   2.0     31   4.1    388  51.6        -  FN-WIRE-STATE-LINE-LIMIT
  30     15   2.0     28   3.7    403  53.6        -  FN-SERVED-CONN-GROUP-INDEX
  32     11   1.5     22   2.9    414  55.1        -  FN-INJ-APPEND
  34     11   1.5     11   1.5    425  56.5        -  GENERIC-+
  36     10   1.3     10   1.3    435  57.8        -  FN-SHS-EXTEND
  38     10   1.3     10   1.3    445  59.2        -  foreign function pthread_sigmask
  40      9   1.2     14   1.9    454  60.4        -  FN-INJ-NTH
  42      8   1.1     17   2.3    462  61.4        -  FN-SERVED-CONN-VERDICTS
  44      8   1.1     15   2.0    470  62.5        -  FN-WIRE-STATE-BODY-LIMIT
  46      7   0.9     14   1.9    477  63.4        -  FN-SHS-LOAD-LIST-WORD
  48      7   0.9      9   1.2    484  64.4        -  FN-SERVED-CONN-INJECTION
  50      7   0.9      9   1.2    491  65.3        -  FN-SERVED-COUNTED-RESULT
  52      7   0.9      7   0.9    498  66.2        -  FN-SHS-LIST-BYTE
  54      7   0.9      7   0.9    505  67.2        -  FN-SERVED-CONN-SESSION
  56      6   0.8     15   2.0    511  68.0        -  FN-SERVED-CONN-INDEX
  58      6   0.8     14   1.9    517  68.8        -  FN-WIRE-STATE-BODY-SIZE
  60      6   0.8      9   1.2    523  69.5        -  FN-SERVED-CONN-CONFIG
  62      6   0.8      7   0.9    529  70.3        -  FN-RECORD-PAYLOADP
  64      6   0.8      6   0.8    535  71.1        -  FN-OCTETP
  66      6   0.8      6   0.8    541  71.9        -  LENGTH
  68      6   0.8      6   0.8    547  72.7        -  FN-WIRE-STATE-LINE-LEN
  70      5   0.7     27   3.6    552  73.4        -  FN-OWN-FEED-INTENT-ID
  72      5   0.7     10   1.3    557  74.1        -  FN-OCTET-LISTP
  74      5   0.7      5   0.7    562  74.7        -  FN-SERVED-MAKE-CONN-GROUP-INDEXED
  76      5   0.7      5   0.7    567  75.4        -  FN-AUTH-SESSION-HANDSHAKINGP
  78      5   0.7      5   0.7    572  76.1        -  FN-ID-SUBJECT-PREIMAGE
  80      5   0.7      5   0.7    577  76.7        -  FN-WIRE-STATE-MODE
------------------------------------------------------------------------
          4   0.5                                     elsewhere
